"d3mIndex","log(wdi.pop)","wdi.popurb.mi","ythbul4","log1p(bnk.unrest)","log1p(bnk.strikes)","log1p(nvc.dosregt)","nvc.ongoing","civilwar","nvc.start.1"
2,15.9005780062783,46.2295,0.1879720302,0,0,0,0,0,0
796.666666666667,15.9005780062783,46.2295,0.1879720302,0,0,0,0,0,0
1591.33333333333,15.9005780062783,46.2295,0.1879720302,0,0,0,0,0,0
2386,15.9005780062783,46.2295,0.1879720302,0,0,0,0,0,0
3180.66666666667,15.9005780062783,46.2295,0.1879720302,0,0,0,0,0,0
3975.33333333333,15.9005780062783,46.2295,0.1879720302,0,0,0,0,0,0
4770,15.9005780062783,46.2295,0.1879720302,0,0,0,0,0,0
5564.66666666667,15.9005780062783,46.2295,0.1879720302,0,0,0,0,0,0
6359.33333333333,15.9005780062783,46.2295,0.1879720302,0,0,0,0,0,0
7154,15.9005780062783,46.2295,0.1879720302,0,0,0,0,0,0
3570,11.7782852384175,46.2295,0.1879720302,0,0,0,0,0,0
3570,12.8055741132311,46.2295,0.1879720302,0,0,0,0,0,0
3570,13.8328629880447,46.2295,0.1879720302,0,0,0,0,0,0
3570,14.8601518628583,46.2295,0.1879720302,0,0,0,0,0,0
3570,15.8874407376719,46.2295,0.1879720302,0,0,0,0,0,0
3570,16.9147296124855,46.2295,0.1879720302,0,0,0,0,0,0
3570,17.9420184872991,46.2295,0.1879720302,0,0,0,0,0,0
3570,18.9693073621127,46.2295,0.1879720302,0,0,0,0,0,0
3570,19.9965962369263,46.2295,0.1879720302,0,0,0,0,0,0
3570,21.0238851117399,46.2295,0.1879720302,0,0,0,0,0,0
3570,15.9005780062783,2.611,0.1879720302,0,0,0,0,0,0
3570,15.9005780062783,13.432,0.1879720302,0,0,0,0,0,0
3570,15.9005780062783,24.253,0.1879720302,0,0,0,0,0,0
3570,15.9005780062783,35.074,0.1879720302,0,0,0,0,0,0
3570,15.9005780062783,45.895,0.1879720302,0,0,0,0,0,0
3570,15.9005780062783,56.716,0.1879720302,0,0,0,0,0,0
3570,15.9005780062783,67.537,0.1879720302,0,0,0,0,0,0
3570,15.9005780062783,78.358,0.1879720302,0,0,0,0,0,0
3570,15.9005780062783,89.179,0.1879720302,0,0,0,0,0,0
3570,15.9005780062783,100,0.1879720302,0,0,0,0,0,0
3570,15.9005780062783,46.2295,0.096589477,0,0,0,0,0,0
3570,15.9005780062783,46.2295,0.116949097322222,0,0,0,0,0,0
3570,15.9005780062783,46.2295,0.137308717644444,0,0,0,0,0,0
3570,15.9005780062783,46.2295,0.157668337966667,0,0,0,0,0,0
3570,15.9005780062783,46.2295,0.178027958288889,0,0,0,0,0,0
3570,15.9005780062783,46.2295,0.198387578611111,0,0,0,0,0,0
3570,15.9005780062783,46.2295,0.218747198933333,0,0,0,0,0,0
3570,15.9005780062783,46.2295,0.239106819255556,0,0,0,0,0,0
3570,15.9005780062783,46.2295,0.259466439577778,0,0,0,0,0,0
3570,15.9005780062783,46.2295,0.2798260599,0,0,0,0,0,0
3570,15.9005780062783,46.2295,0.1879720302,0,0,0,0,0,0
3570,15.9005780062783,46.2295,0.1879720302,0.43466922282535,0,0,0,0,0
3570,15.9005780062783,46.2295,0.1879720302,0.8693384456507,0,0,0,0,0
3570,15.9005780062783,46.2295,0.1879720302,1.30400766847605,0,0,0,0,0
3570,15.9005780062783,46.2295,0.1879720302,1.7386768913014,0,0,0,0,0
3570,15.9005780062783,46.2295,0.1879720302,2.17334611412675,0,0,0,0,0
3570,15.9005780062783,46.2295,0.1879720302,2.6080153369521,0,0,0,0,0
3570,15.9005780062783,46.2295,0.1879720302,3.04268455977745,0,0,0,0,0
3570,15.9005780062783,46.2295,0.1879720302,3.4773537826028,0,0,0,0,0
3570,15.9005780062783,46.2295,0.1879720302,3.91202300542815,0,0,0,0,0
3570,15.9005780062783,46.2295,0.1879720302,0,0,0,0,0,0
3570,15.9005780062783,46.2295,0.1879720302,0,0.293228592179473,0,0,0,0
3570,15.9005780062783,46.2295,0.1879720302,0,0.586457184358947,0,0,0,0
3570,15.9005780062783,46.2295,0.1879720302,0,0.87968577653842,0,0,0,0
3570,15.9005780062783,46.2295,0.1879720302,0,1.17291436871789,0,0,0,0
3570,15.9005780062783,46.2295,0.1879720302,0,1.46614296089737,0,0,0,0
3570,15.9005780062783,46.2295,0.1879720302,0,1.75937155307684,0,0,0,0
3570,15.9005780062783,46.2295,0.1879720302,0,2.05260014525631,0,0,0,0
3570,15.9005780062783,46.2295,0.1879720302,0,2.34582873743579,0,0,0,0
3570,15.9005780062783,46.2295,0.1879720302,0,2.63905732961526,0,0,0,0
3570,15.9005780062783,46.2295,0.1879720302,0,0,0,0,0,0
3570,15.9005780062783,46.2295,0.1879720302,0,0,0.216212238783923,0,0,0
3570,15.9005780062783,46.2295,0.1879720302,0,0,0.432424477567847,0,0,0
3570,15.9005780062783,46.2295,0.1879720302,0,0,0.64863671635177,0,0,0
3570,15.9005780062783,46.2295,0.1879720302,0,0,0.864848955135693,0,0,0
3570,15.9005780062783,46.2295,0.1879720302,0,0,1.08106119391962,0,0,0
3570,15.9005780062783,46.2295,0.1879720302,0,0,1.29727343270354,0,0,0
3570,15.9005780062783,46.2295,0.1879720302,0,0,1.51348567148746,0,0,0
3570,15.9005780062783,46.2295,0.1879720302,0,0,1.72969791027139,0,0,0
3570,15.9005780062783,46.2295,0.1879720302,0,0,1.94591014905531,0,0,0
3570,15.9005780062783,46.2295,0.1879720302,0,0,0,0,0,0
3570,15.9005780062783,46.2295,0.1879720302,0,0,0,1,0,0
3570,15.9005780062783,46.2295,0.1879720302,0,0,0,0,0,0
3570,15.9005780062783,46.2295,0.1879720302,0,0,0,0,1,0
3570,15.9005780062783,46.2295,0.1879720302,0,0,0,0,0,0
3570,15.9005780062783,46.2295,0.1879720302,0,0,0,0,0,1
