mido,d3mIndex
0,11.0
0,3020.6666666666697
0,6030.33333333333
0,9040.0
0,12049.666666666699
0,15059.333333333301
0,18069.0
0,21078.6666666667
0,24088.3333333333
0,27098.0
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
1,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
0,13628.5
