sftpcons,d3mIndex
1,153
1,164
1,194
0,236
1,186
1,264
1,303
0,106
0,413
0,63
1,315
0,390
1,401
0,429
1,89
0,308
0,93
1,302
1,282
1,255
1,92
0,18
0,145
1,158
1,150
0,229
1,210
0,188
0,394
1,66
1,283
1,208
0,140
1,101
0,367
0,444
1,374
0,17
0,146
1,438
0,418
1,30
1,114
1,449
0,103
0,231
1,284
0,176
1,407
1,116
0,168
0,378
1,120
0,230
0,112
1,295
1,357
1,136
0,190
0,318
0,233
0,126
1,386
1,271
0,343
1,325
0,133
1,33
1,433
0,162
1,34
1,44
0,97
1,85
1,61
1,167
0,199
1,173
1,241
0,250
1,447
0,391
1,347
1,108
1,349
1,218
0,46
0,368
0,238
1,393
0,73
1,137
1,436
1,35
1,263
0,29
0,181
1,332
0,312
1,51
1,387
1,405
1,217
1,446
1,27
1,2
0,232
0,268
1,156
0,306
0,431
0,235
1,316
0,138
1,212
1,104
1,385
0,317
0,322
0,215
1,352
0,189
0,214
1,204
0,234
1,259
1,67
0,24
0,216
1,223
1,129
1,111
1,166
1,380
1,360
1,40
1,328
1,79
0,287
0,289
1,13
1,375
1,450
1,228
1,161
1,83
1,453
0,430
1,110
0,149
1,152
0,16
0,310
1,109
1,451
1,139
0,237
1,260
1,329
0,366
1,248
1,353
0,19
1,296
0,269
1,226
1,351
0,3
0,320
0,125
1,280
0,286
1,77
1,184
1,345
1,434
1,275
1,294
0,414
0,182
1,409
1,80
0,307
1,258
1,11
1,342
0,86
0,266
1,36
0,437
1,58
1,41
1,270
1,50
1,209
0,363
1,362
0,379
0,123
0,222
0,62
1,346
1,130
0,187
0,23
0,43
1,0
0,201
1,439
0,98
0,304
1,443
0,178
1,256
0,94
0,423
0,95
1,426
0,169
0,69
0,305
1,48
1,341
1,207
0,279
1,227
0,148
1,143
0,334
0,180
1,356
0,131
1,410
1,454
0,262
0,324
0,203
1,84
1,121
1,397
0,420
0,91
1,82
0,267
1,119
1,358
0,291
1,57
0,321
1,257
1,376
1,408
0,42
1,105
1,388
0,422
0,273
1,406
1,38
1,389
0,53
1,399
0,128
0,290
0,28
0,183
0,370
1,163
1,151
1,244
0,202
1,31
1,32
0,127
1,185
1,427
0,288
1,398
1,416
0,147
1,285
0,424
0,177
1,99
0,338
0,335
1,197
1,243
0,115
1,404
0,265
0,72
1,333
0,25
1,165
0,337
1,440
1,174
1,442
1,39
1,193
0,314
0,396
1,88
0,70
0,87
0,292
0,242
1,277
1,211
1,9
1,359
1,195
0,251
1,323
1,192
1,117
1,47
1,172
