nvc.start.1,d3mIndex
0,5.0
0,937.666666666667
0,1870.33333333333
0,2803.0
0,3735.6666666666706
0,4668.333333333329
0,5601.0
0,6533.66666666667
0,7466.33333333333
0,8399.0
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
0,4076.5
