"d3mIndex","pmid","py","py2","py3","terriss","riveriss","mariss","terrAtt","rivAtt","marAtt","mido"
3,0,27,729,19683,0,0,0,0,0,0,0
4012.88888888889,0,27,729,19683,0,0,0,0,0,0,0
8022.77777777778,0,27,729,19683,0,0,0,0,0,0,0
12032.6666666667,0,27,729,19683,0,0,0,0,0,0,0
16042.5555555556,0,27,729,19683,0,0,0,0,0,0,0
20052.4444444444,0,27,729,19683,0,0,0,0,0,0,0
24062.3333333333,0,27,729,19683,0,0,0,0,0,0,0
28072.2222222222,0,27,729,19683,0,0,0,0,0,0,0
32082.1111111111,0,27,729,19683,0,0,0,0,0,0,0
36092,0,27,729,19683,0,0,0,0,0,0,0
18156.5,0,27,729,19683,0,0,0,0,0,0,0
18156.5,1,27,729,19683,0,0,0,0,0,0,0
18156.5,0,0,729,19683,0,0,0,0,0,0,0
18156.5,0,12,729,19683,0,0,0,0,0,0,0
18156.5,0,24,729,19683,0,0,0,0,0,0,0
18156.5,0,36,729,19683,0,0,0,0,0,0,0
18156.5,0,48,729,19683,0,0,0,0,0,0,0
18156.5,0,60,729,19683,0,0,0,0,0,0,0
18156.5,0,72,729,19683,0,0,0,0,0,0,0
18156.5,0,84,729,19683,0,0,0,0,0,0,0
18156.5,0,96,729,19683,0,0,0,0,0,0,0
18156.5,0,108,729,19683,0,0,0,0,0,0,0
18156.5,0,27,0,19683,0,0,0,0,0,0,0
18156.5,0,27,1296,19683,0,0,0,0,0,0,0
18156.5,0,27,2592,19683,0,0,0,0,0,0,0
18156.5,0,27,3888,19683,0,0,0,0,0,0,0
18156.5,0,27,5184,19683,0,0,0,0,0,0,0
18156.5,0,27,6480,19683,0,0,0,0,0,0,0
18156.5,0,27,7776,19683,0,0,0,0,0,0,0
18156.5,0,27,9072,19683,0,0,0,0,0,0,0
18156.5,0,27,10368,19683,0,0,0,0,0,0,0
18156.5,0,27,11664,19683,0,0,0,0,0,0,0
18156.5,0,27,729,0,0,0,0,0,0,0,0
18156.5,0,27,729,139968,0,0,0,0,0,0,0
18156.5,0,27,729,279936,0,0,0,0,0,0,0
18156.5,0,27,729,419904,0,0,0,0,0,0,0
18156.5,0,27,729,559872,0,0,0,0,0,0,0
18156.5,0,27,729,699840,0,0,0,0,0,0,0
18156.5,0,27,729,839808,0,0,0,0,0,0,0
18156.5,0,27,729,979776,0,0,0,0,0,0,0
18156.5,0,27,729,1119744,0,0,0,0,0,0,0
18156.5,0,27,729,1259712,0,0,0,0,0,0,0
18156.5,0,27,729,19683,0,0,0,0,0,0,0
18156.5,0,27,729,19683,1,0,0,0,0,0,0
18156.5,0,27,729,19683,0,0,0,0,0,0,0
18156.5,0,27,729,19683,0,1,0,0,0,0,0
18156.5,0,27,729,19683,0,0,0,0,0,0,0
18156.5,0,27,729,19683,0,0,1,0,0,0,0
18156.5,0,27,729,19683,0,0,0,0,0,0,0
18156.5,0,27,729,19683,0,0,0,1,0,0,0
18156.5,0,27,729,19683,0,0,0,0,0,0,0
18156.5,0,27,729,19683,0,0,0,0,1,0,0
18156.5,0,27,729,19683,0,0,0,0,0,0,0
18156.5,0,27,729,19683,0,0,0,0,0,1,0
18156.5,0,27,729,19683,0,0,0,0,0,0,0
18156.5,0,27,729,19683,0,0,0,0,0,0,1
