d3mIndex,mido
11,0.0
3020,0.0
6030,0.0
9040,0.0
12049,0.0
15059,0.0
18069,0.0
21078,0.0
24088,0.0
27098,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
13628,0.0
