d3mIndex,mido,pmid,py,py2,py3,terriss,riveriss,mariss,terrAtt,rivAtt,marAtt,minpol,rbal,lnkmdist
14571,0,0,0,0,0,0,0,0,0,0,0,NA,0.00427555983111539,7.52940645783701
10036,0,0,67,4489,300763,0,0,0,0,0,0,-7,0.193634563124683,7.14045304310116
5586,0,1,11,121,1331,1,0,0,0,0,0,-10,0.00260017685918888,7.73455884435476
17701,0,0,39,1521,59319,0,0,0,0,0,0,-9,0.0427949252035599,7.11963563801764
6688,0,0,3,9,27,0,0,0,0,0,0,-9,0.151929415344049,8.75998249497728
22759,0,0,18,324,5832,0,0,0,0,0,0,-3,0.0251644074620856,8.68558484267669
11092,0,1,6,36,216,0,0,0,0,0,0,-9,0.760573606825195,5.50533153593236
1251,0,0,6,36,216,0,0,0,0,0,0,-3,0.18430612739162,8.30251371851416
13893,0,0,20,400,8000,0,0,0,0,0,0,-5,0.255759957135203,7.09589322109753
8598,0,0,71,5041,357911,0,0,0,0,0,0,-7,0.636010362694301,7.71199650704767
17385,0,0,0,0,0,0,0,0,0,0,0,-9,0.213159541188738,8.92159106356398
6186,0,1,60,3600,216000,0,0,1,0,0,0,-10,0.00427758434202329,8.01433573729942
14859,0,0,9,81,729,0,0,0,0,0,0,NA,0.127510917030568,5.28826703069454
24674,0,0,55,3025,166375,0,0,0,0,0,0,-1,0.0268455423055082,8.56978564153541
23795,0,0,51,2601,132651,0,0,0,0,0,0,8,0.297264803125939,8.65172408437384
7558,0,0,28,784,21952,0,0,0,0,0,0,-6,0.524895178197065,8.18618599422608
18509,0,0,39,1521,59319,0,0,0,0,0,0,-9,0.337299571936443,8.10681603894705
11644,0,0,22,484,10648,0,0,0,0,0,0,-5,0.344057971014493,7.37525577800975
854,0,1,3,9,27,1,0,1,0,0,0,1,0.0121873346591013,6.94889722231331
2301,0,0,24,576,13824,0,0,0,0,0,0,-3,0.151645350386358,8.23403420769204
17928,0,0,16,256,4096,0,0,0,0,0,0,-3,NA,7.78945456608667
20514,0,1,28,784,21952,1,0,1,0,0,0,-10,0.549490538573508,5.30330490805908
4867,0,1,43,1849,79507,0,0,0,0,0,0,7,0.0389702069968597,8.81314100828505
8461,0,0,2,4,8,0,0,0,0,0,0,-1,0.0220256111757858,7.49609734517596
5955,0,1,19,361,6859,0,0,0,0,0,0,2,0.00267712022783529,8.0040315078527
9624,0,0,9,81,729,0,0,0,0,0,0,-7,0.00809383027189454,7.8808043446749
20973,0,0,86,7396,636056,0,0,0,0,0,0,6,0.137191091223431,7.80180040190897
4584,0,0,72,5184,373248,0,0,0,0,0,0,9,0.0325762924490853,8.1164170727942
19602,0,0,76,5776,438976,0,0,0,0,0,0,-1,0.0957469775474957,7.48829351515943
13015,0,0,9,81,729,0,0,0,0,0,0,-6,0.591094386955158,7.65396918047877
17829,0,1,67,4489,300763,0,0,0,0,0,0,-8,0.0267297735948281,7.37462901521894
13300,0,0,64,4096,262144,0,0,0,0,0,0,-7,0.494355666324586,7.29369772060144
17849,0,0,7,49,343,0,0,0,0,0,0,-3,0.0109665478854175,7.56268124672188
11650,0,0,28,784,21952,0,0,0,0,0,0,-9,0.313798008534851,7.37525577800975
1880,0,0,10,100,1000,0,0,0,0,0,0,-8,0.16195856873823,8.14351740579748
10352,0,0,59,3481,205379,0,0,0,0,0,0,-9,0.100589786100617,7.35755620091035
6076,0,1,32,1024,32768,1,0,0,1,0,0,-1,0.00105862467328529,7.98002359231065
4616,0,0,14,196,2744,0,0,0,0,0,0,0,0.000603248156183182,8.29629711264251
8945,0,0,39,1521,59319,0,0,0,0,0,0,-7,0.159441826748822,8.6447065117152
911,0,0,26,676,17576,0,0,0,0,0,0,-9,0.691272104962921,7.43248380791712
9544,0,1,15,225,3375,0,0,0,0,0,0,-7,0.330586923859836,7.23056315340929
