d3mIndex,mido
3,0.0
4012,0.0
8022,0.0
12032,0.0
16042,0.0
20052,0.0
24062,0.0
28072,0.0
32082,0.0
36092,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
18156,0.0
