d3mIndex,p_0,p_1
0,0.8612898950812031,0.13871010491879693
1,0.43122197667029327,0.5687780233297067
2,0.673345814759243,0.32665418524075696
3,0.9014252635946972,0.0985747364053028
4,0.9434981466150091,0.05650185338499096
5,0.9352628496018811,0.06473715039811885
6,0.9752306334871369,0.024769366512863107
7,0.9854783124559058,0.014521687544094256
8,0.9816253871236068,0.01837461287639319
9,0.9899700382558736,0.010029961744126362
10,0.9908579223865392,0.00914207761346076
11,0.9928893584355067,0.007110641564493283
12,0.99251345941179,0.007486540588209979
13,0.991074859638376,0.008925140361623982
14,0.9890064455197157,0.01099355448028431
15,0.9875015788183261,0.0124984211816739
16,0.9904526232204471,0.009547376779552835
17,0.990987327428481,0.009012672571519104
18,0.9899965175824875,0.010003482417512434
19,0.9855379022778764,0.014462097722123592
20,0.9824478140463795,0.01755218595362049
21,0.9736810922600853,0.026318907739914722
22,0.9517910374236145,0.04820896257638546
23,0.9904949530574623,0.009505046942537704
24,0.9828007731445093,0.017199226855490662
25,0.9907156482993181,0.009284351700681816
26,0.9920530722337739,0.007946927766226089
27,0.989854432237301,0.010145567762699032
28,0.9943080950600024,0.005691904939997655
29,0.9937181124817401,0.0062818875182599114
30,0.9916553429416336,0.008344657058366395
31,0.9918498503830051,0.008150149616994895
32,0.9925676287045532,0.007432371295446781
33,0.9939859762155371,0.006014023784462971
34,0.9913749055268664,0.008625094473133615
35,0.9908256173704733,0.009174382629526707
36,0.9956414244907836,0.00435857550921635
37,0.9945376024899395,0.005462397510060468
38,0.9936923476379329,0.006307652362067109
39,0.9955607182498519,0.004439281750148019
40,0.9916755250977496,0.008324474902250446
41,0.9861086533512347,0.013891346648765297
42,0.9926224384573288,0.007377561542671174
43,0.9942418568346721,0.005758143165327895
44,0.9948333293315954,0.0051666706684045495
45,0.9937608498506821,0.0062391501493178885
46,0.996366456454584,0.0036335435454160547
47,0.996455141576007,0.0035448584239929914
48,0.9905167610223333,0.009483238977666657
49,0.9959915142441437,0.0040084857558562925
50,0.9958204427895208,0.004179557210479218
51,0.9967583601148082,0.003241639885191734
52,0.9962789956838466,0.0037210043161534346
53,0.9964993732103792,0.0035006267896208624
54,0.9954597336463988,0.00454026635360116
55,0.994853633029673,0.005146366970327038
56,0.9928849005194095,0.007115099480590568
57,0.9914069608731482,0.00859303912685181
58,0.9952463952636418,0.004753604736358214
59,0.9949112798973846,0.005088720102615368
60,0.9945790358895186,0.005420964110481481
61,0.9945732132437675,0.005426786756232524
62,0.9952770456926933,0.0047229543073067015
63,0.9945825491060252,0.005417450893974792
64,0.9942075057219392,0.005792494278060846
65,0.9934558544330335,0.006544145566966528
66,0.994346085116894,0.005653914883105944
67,0.9944585555596859,0.005541444440314081
68,0.9890906752268515,0.01090932477314849
69,0.9906602175036544,0.009339782496345624
70,0.9892249206244462,0.010775079375553805
71,0.9897987072248585,0.010201292775141505
72,0.990631306582397,0.009368693417603097
73,0.9900104940833094,0.009989505916690598
74,0.9703980588144847,0.02960194118551534
75,0.9738638245468162,0.02613617545318378
76,0.9713935906818594,0.028606409318140673
77,0.9486665380697769,0.0513334619302231
