d3mIndex,mido
4.0,0
4013.6666666666706,0
8023.33333333333,0
12033.0,0
16042.666666666699,0
20052.3333333333,0
24062.0,0
28071.6666666667,0
32081.3333333333,0
36091.0,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
17844.5,0
