d3mIndex,nvc.start.1
564,0.027099236641221373
1303,0.027099236641221373
44,0.027099236641221373
3141,0.027099236641221373
1774,0.027099236641221373
2019,0.027099236641221373
1857,0.027099236641221373
806,0.027099236641221373
1943,0.027099236641221373
3197,0.027099236641221373
2568,0.027099236641221373
3110,0.027099236641221373
3484,0.027099236641221373
425,0.027099236641221373
1772,0.027099236641221373
3044,0.027099236641221373
1530,0.027099236641221373
2755,0.027099236641221373
1283,0.027099236641221373
600,0.027099236641221373
3268,0.027099236641221373
1952,0.027099236641221373
1038,0.027099236641221373
783,0.027099236641221373
3415,0.027099236641221373
1268,0.027099236641221373
778,0.027099236641221373
984,0.027099236641221373
1881,0.027099236641221373
3274,0.027099236641221373
745,0.027099236641221373
2482,0.027099236641221373
3235,0.027099236641221373
1835,0.027099236641221373
1388,0.027099236641221373
847,0.027099236641221373
3412,0.027099236641221373
2774,0.027099236641221373
3460,0.027099236641221373
1837,0.027099236641221373
82,0.027099236641221373
746,0.027099236641221373
3072,0.027099236641221373
2567,0.027099236641221373
995,0.027099236641221373
3383,0.027099236641221373
141,0.027099236641221373
862,0.027099236641221373
1184,0.027099236641221373
1310,0.027099236641221373
1414,0.027099236641221373
507,0.027099236641221373
3493,0.027099236641221373
2976,0.027099236641221373
2725,0.027099236641221373
121,0.027099236641221373
1959,0.027099236641221373
1476,0.027099236641221373
3599,0.027099236641221373
3236,0.027099236641221373
1886,0.027099236641221373
206,0.027099236641221373
1326,0.027099236641221373
2703,0.027099236641221373
2713,0.027099236641221373
1423,0.027099236641221373
1813,0.027099236641221373
269,0.027099236641221373
3638,0.027099236641221373
3722,0.027099236641221373
850,0.027099236641221373
135,0.027099236641221373
1944,0.027099236641221373
849,0.027099236641221373
820,0.027099236641221373
886,0.027099236641221373
2329,0.027099236641221373
414,0.027099236641221373
1270,0.027099236641221373
1763,0.027099236641221373
3712,0.027099236641221373
743,0.027099236641221373
476,0.027099236641221373
3260,0.027099236641221373
456,0.027099236641221373
1370,0.027099236641221373
762,0.027099236641221373
988,0.027099236641221373
3074,0.027099236641221373
1895,0.027099236641221373
271,0.027099236641221373
1666,0.027099236641221373
3418,0.027099236641221373
1894,0.027099236641221373
3664,0.027099236641221373
1757,0.027099236641221373
672,0.027099236641221373
1359,0.027099236641221373
655,0.027099236641221373
1282,0.027099236641221373
2500,0.027099236641221373
1347,0.027099236641221373
700,0.027099236641221373
1955,0.027099236641221373
1385,0.027099236641221373
590,0.027099236641221373
3655,0.027099236641221373
1571,0.027099236641221373
314,0.027099236641221373
119,0.027099236641221373
2033,0.027099236641221373
2390,0.027099236641221373
1714,0.027099236641221373
3229,0.027099236641221373
3652,0.027099236641221373
3267,0.027099236641221373
1197,0.027099236641221373
2979,0.027099236641221373
942,0.027099236641221373
3384,0.027099236641221373
1338,0.027099236641221373
1182,0.027099236641221373
831,0.027099236641221373
215,0.027099236641221373
3283,0.027099236641221373
392,0.027099236641221373
27,0.027099236641221373
2838,0.027099236641221373
752,0.027099236641221373
478,0.027099236641221373
2615,0.027099236641221373
1464,0.027099236641221373
1649,0.027099236641221373
909,0.027099236641221373
1775,0.027099236641221373
2124,0.027099236641221373
619,0.027099236641221373
2853,0.027099236641221373
2706,0.027099236641221373
2445,0.027099236641221373
2103,0.027099236641221373
132,0.027099236641221373
283,0.027099236641221373
2137,0.027099236641221373
563,0.027099236641221373
1341,0.027099236641221373
921,0.027099236641221373
2945,0.027099236641221373
969,0.027099236641221373
1212,0.027099236641221373
394,0.027099236641221373
913,0.027099236641221373
1478,0.027099236641221373
3063,0.027099236641221373
1773,0.027099236641221373
2888,0.027099236641221373
