mido,d3mIndex
0,2.0
0,3013.0
0,6024.0
0,9035.0
0,12046.0
0,15057.0
0,18068.0
0,21079.0
0,24090.0
0,27101.0
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
0,13506.5
