d3mIndex,sftpcons
343,0
254,1
170,0
200,0
429,1
464,1
271,0
311,0
106,0
308,0
63,0
463,0
400,1
411,0
268,0
89,1
322,1
93,0
233,1
410,0
380,1
92,1
18,0
145,0
158,0
150,0
236,0
219,0
246,0
194,0
287,0
66,0
393,0
263,0
140,1
101,0
365,0
249,0
383,0
17,0
146,0
247,0
239,0
30,1
114,0
196,0
103,0
238,0
357,0
176,0
339,1
116,0
168,0
401,0
120,0
301,1
112,0
315,0
422,0
136,0
190,0
326,0
240,0
126,0
264,0
332,1
382,0
351,0
441,0
133,0
33,0
445,0
162,0
34,0
44,1
97,0
85,0
61,0
167,0
199,0
173,0
366,0
451,0
459,0
425,0
312,0
108,0
392,0
218,0
46,0
377,0
245,0
281,0
73,0
137,0
448,0
35,0
303,0
29,0
181,0
340,0
320,0
51,0
385,0
415,0
217,1
458,0
27,0
2,0
232,1
395,0
156,0
450,1
443,0
235,1
381,0
138,0
212,0
104,1
329,1
325,0
330,1
215,0
361,0
189,0
214,0
204,0
234,0
259,0
67,0
24,0
216,0
223,0
129,0
111,0
166,0
390,1
369,0
40,1
274,0
336,1
79,1
295,0
297,0
13,1
387,1
462,0
228,0
161,0
83,0
465,1
442,0
110,1
149,0
152,0
16,0
318,0
109,0
331,0
139,0
237,0
260,0
444,1
375,0
248,0
362,0
19,0
296,0
269,0
226,0
360,0
3,0
328,0
125,0
280,0
286,0
77,0
184,0
353,0
446,0
275,0
294,0
408,0
182,0
419,0
80,0
307,0
258,0
11,1
350,0
86,0
266,0
36,0
449,0
58,0
41,1
270,0
50,0
209,0
372,0
371,0
406,1
123,0
222,0
62,0
354,1
130,0
187,0
23,0
43,0
0,0
201,0
399,1
98,0
349,0
304,0
455,0
178,0
256,0
94,0
435,0
95,0
414,0
169,0
69,0
305,0
48,0
341,0
207,0
279,1
227,0
148,0
143,0
334,1
180,0
356,0
131,0
420,0
466,0
262,0
324,0
203,0
84,0
121,0
407,1
433,0
384,0
91,0
82,1
267,0
119,1
358,0
291,0
57,0
321,0
257,0
376,0
418,0
42,0
105,0
388,0
434,0
273,0
416,0
38,0
389,0
53,0
409,0
128,0
290,0
28,0
183,0
370,0
163,1
151,0
244,0
202,0
31,0
32,0
127,0
185,0
439,0
288,1
423,0
398,1
427,0
147,0
285,0
436,1
177,0
99,1
338,1
431,1
335,1
197,0
243,0
115,0
404,0
265,0
72,0
333,1
25,0
165,0
337,0
452,0
174,0
454,0
39,0
193,0
314,0
396,0
88,1
70,0
87,0
292,0
242,0
277,0
211,0
9,0
359,0
195,0
251,0
323,1
192,0
117,1
47,1
172,1
