sftpcons,d3mIndex
1,153
0,164
0,194
0,236
0,186
0,264
1,303
0,106
0,413
0,63
1,315
0,390
0,401
0,429
1,89
0,308
0,93
1,302
0,282
0,255
1,92
0,18
0,145
1,158
0,150
0,229
0,210
0,188
0,394
0,66
0,283
0,208
0,140
0,101
0,367
0,444
1,374
0,17
0,146
1,438
0,418
1,30
1,114
1,449
0,103
0,231
0,284
0,176
0,407
1,116
0,168
0,378
0,120
0,230
0,112
1,295
0,357
0,136
0,190
0,318
0,233
0,126
0,386
0,271
0,343
1,325
0,133
0,33
1,433
0,162
0,34
0,44
0,97
1,85
0,61
1,167
1,199
1,173
0,241
0,250
0,447
0,391
0,347
0,108
0,349
1,218
0,46
0,368
0,238
0,393
0,73
0,137
0,436
0,35
1,263
0,29
0,181
1,332
0,312
1,51
1,387
0,405
0,217
1,446
1,27
1,2
0,232
0,268
0,156
0,306
0,431
0,235
1,316
0,138
0,212
1,104
0,385
0,317
0,322
0,215
1,352
0,189
0,214
0,204
0,234
0,259
0,67
0,24
0,216
1,223
1,129
1,111
0,166
0,380
0,360
1,40
1,328
1,79
0,287
0,289
1,13
0,375
1,450
1,228
1,161
0,83
1,453
0,430
0,110
0,149
0,152
0,16
0,310
0,109
0,451
1,139
0,237
0,260
1,329
0,366
0,248
1,353
0,19
0,296
0,269
1,226
0,351
0,3
0,320
0,125
0,280
0,286
0,77
0,184
0,345
0,434
1,275
1,294
0,414
0,182
0,409
1,80
0,307
0,258
1,11
0,342
0,86
0,266
0,36
0,437
0,58
0,41
0,270
0,50
0,209
0,363
1,362
0,379
0,123
0,222
0,62
1,346
0,130
0,187
0,23
0,43
0,0
0,201
1,439
0,98
0,304
0,443
0,178
0,256
0,94
0,423
0,95
1,426
0,169
0,69
0,305
0,48
0,341
0,207
0,279
1,227
0,148
0,143
0,334
0,180
0,356
0,131
1,410
1,454
0,262
0,324
0,203
0,84
0,121
0,397
0,420
0,91
1,82
0,267
0,119
1,358
0,291
0,57
0,321
0,257
0,376
0,408
0,42
0,105
1,388
0,422
0,273
0,406
0,38
1,389
0,53
0,399
0,128
0,290
0,28
1,183
0,370
1,163
0,151
0,244
0,202
0,31
0,32
0,127
0,185
1,427
0,288
0,398
0,416
0,147
1,285
0,424
0,177
1,99
0,338
0,335
0,197
0,243
0,115
0,404
0,265
0,72
1,333
0,25
1,165
0,337
0,440
1,174
1,442
1,39
1,193
0,314
0,396
1,88
0,70
0,87
0,292
0,242
0,277
1,211
1,9
0,359
0,195
0,251
1,323
0,192
1,117
1,47
0,172
