d3mIndex,log(wdi.pop),log1p(age),postcoldwar,ios.iccpr1,nld.any.1,pitfdem,I(pitfdem * nld.any.1),I(postcoldwar * nld.any.1),as.factor(fiw.cl),log1p(pol.durable),log1p(cou.tries5),nvc.start.1
0,16.071751248473962,3.828641396489095,0,0.0,1.0,0,0.0,0.0,,0.0,0.0,0.0
1,16.094316658390046,3.8501476017100575,0,0.0,0.0,0,0.0,0.0,,0.6931471805599453,0.0,0.0
2,16.117107663058967,3.8712010109078903,0,0.0,0.0,0,0.0,0.0,,1.0986122886681096,0.0,0.0
3,16.140043231099465,3.8918202981106265,0,0.0,0.0,0,0.0,0.0,,1.3862943611198906,0.0,0.0
4,16.163620489750787,3.912023005428147,0,0.0,1.0,0,0.0,0.0,,1.6094379124341005,0.0,0.0
5,16.188478715678713,3.9318256327243257,0,0.0,0.0,0,0.0,0.0,,1.791759469228055,0.0,0.0
6,16.214824914296234,3.951243718581428,0,0.0,0.0,0,0.0,0.0,,1.9459101490553128,0.0,0.0
7,16.242386001375,3.970291913552122,0,0.0,0.0,0,0.0,0.0,,2.079441541679836,0.0,0.0
8,16.27033396051349,3.9889840465642745,0,0.0,0.0,0,0.0,0.0,5.0,2.19722457733622,0.0,0.0
9,16.297609269180047,4.007333185232471,0,0.0,0.0,0,0.0,0.0,6.0,2.302585092994046,1.6094379124341005,0.0
10,16.322960275954202,4.02535169073515,0,0.0,0.0,0,0.0,0.0,6.0,2.3978952727983707,1.6094379124341005,0.0
11,16.345373842853522,4.043051267834549,0,0.0,0.0,0,0.0,0.0,6.0,2.4849066497880004,1.6094379124341005,0.0
12,16.365487618661398,4.060443010546419,0,0.0,0.0,0,0.0,0.0,6.0,2.5649493574615367,1.6094379124341005,0.0
13,16.383107177564117,4.07753744390572,0,0.0,0.0,0,0.0,0.0,6.0,2.6390573296152593,1.6094379124341005,0.0
14,16.39569685678751,4.0943445622220995,0,0.0,0.0,0,0.0,0.0,7.0,0.0,0.6931471805599453,0.0
15,16.40004592801083,4.110873864173311,0,0.0,0.0,0,0.0,0.0,7.0,0.0,1.6094379124341005,0.0
16,16.394243787566182,4.127134385045092,0,0.0,0.0,0,0.0,0.0,7.0,0.0,1.6094379124341005,0.0
17,16.377670490132388,4.143134726391533,0,0.0,0.0,0,0.0,0.0,,0.0,1.6094379124341005,0.0
18,16.351941250515367,4.158883083359672,0,0.0,0.0,0,0.0,0.0,7.0,0.0,1.6094379124341005,0.0
19,16.320377338983928,4.174387269895637,0,0.0,0.0,0,0.0,0.0,7.0,0.0,1.3862943611198906,0.0
20,16.288193214920895,4.189654742026425,0,0.0,0.0,0,0.0,0.0,7.0,0.0,0.0,0.0
21,16.260374163243892,4.204692619390967,0,0.0,0.0,0,0.0,0.0,7.0,0.0,0.0,0.0
22,16.236983764679845,4.219507705176107,0,0.0,0.0,0,0.0,0.0,7.0,0.0,0.0,0.0
23,16.219126436849514,4.23410650459726,0,0.0,1.0,0,0.0,0.0,7.0,0.0,0.0,0.0
24,16.214618277270414,4.248495242049359,0,0.0,0.0,0,0.0,0.0,6.0,0.0,0.0,0.0
25,16.232791526235044,4.262679877041316,0,0.0,0.0,0,0.0,0.0,7.0,0.0,0.0,0.0
26,16.27776192048789,4.276666119016055,0,0.0,0.0,0,0.0,0.0,7.0,0.6931471805599453,0.6931471805599453,0.0
27,16.350162709092597,4.290459441148391,1,0.0,0.0,0,0.0,0.0,7.0,1.0986122886681096,0.6931471805599453,0.0
28,16.44103935975117,4.304065093204168,1,0.0,0.0,0,0.0,0.0,6.0,0.0,1.0986122886681096,0.0
29,16.535181311484457,4.31748811353631,1,0.0,0.0,0,0.0,0.0,7.0,0.0,1.0986122886681096,0.0
30,16.6179625263891,4.330733340286331,1,0.0,0.0,0,0.0,0.0,7.0,0.0,1.0986122886681096,0.0
31,16.682617839941695,4.343805421853683,1,0.0,0.0,0,0.0,0.0,7.0,0.0,0.6931471805599453,0.0
32,16.728692778914304,4.356708826689592,1,0.0,0.0,0,0.0,0.0,7.0,0.0,0.6931471805599453,0.0
33,16.761066071468935,4.3694478524670215,1,0.0,0.0,0,0.0,0.0,7.0,0.6931471805599453,0.0,0.0
34,16.785762753958725,4.382026634673881,1,0.0,0.0,0,0.0,0.0,7.0,1.0986122886681096,0.0,0.0
35,16.810596172479368,4.394449154672439,1,0.0,0.0,0,0.0,0.0,7.0,1.3862943611198906,0.0,0.0
36,16.840576365670408,4.4067192472642525,1,0.0,0.0,0,0.0,0.0,7.0,1.6094379124341005,0.0,0.0
37,16.876458404654397,4.418840607796597,1,0.0,0.0,0,0.0,0.0,7.0,0.0,0.0,0.0
38,16.915729235251554,4.430816798843313,1,0.0,0.0,0,0.0,0.0,6.0,0.0,0.6931471805599453,0.0
39,16.95604171933224,4.442651256490317,1,0.0,1.0,0,0.0,1.0,6.0,0.0,0.6931471805599453,0.0
40,16.994342502169765,4.4543472962535064,1,0.0,1.0,0,0.0,1.0,6.0,0.0,0.6931471805599453,0.0
41,17.028805036053978,4.465908118654584,1,0.0,0.0,0,0.0,0.0,5.0,0.0,0.6931471805599453,0.0
42,17.059324116597708,4.477336814478207,1,0.0,0.0,0,0.0,0.0,5.0,0.0,0.6931471805599453,0.0
43,17.086950103886217,4.48863636973214,1,0.0,0.0,0,0.0,0.0,5.0,0.0,0.0,0.0
44,17.11253919500878,4.499809670330264,1,0.0,1.0,0,0.0,1.0,6.0,0.0,0.0,0.0
45,17.137238487055225,4.51085950651685,1,0.0,1.0,0,0.0,1.0,6.0,0.0,0.0,0.0
46,14.29099911744058,3.8918202981106265,0,0.0,0.0,0,0.0,0.0,,2.6390573296152593,0.0,0.0
47,14.322207671146483,3.912023005428147,0,0.0,0.0,0,0.0,0.0,,2.7080502011022096,0.0,0.0
48,14.352774976174393,3.9318256327243257,0,0.0,0.0,0,0.0,0.0,,2.772588722239781,0.0,0.0
49,14.382312463794355,3.951243718581428,0,0.0,0.0,0,0.0,0.0,,2.8332133440562166,0.0,0.0
50,14.411119328056788,3.970291913552122,0,0.0,0.0,0,0.0,0.0,,2.8903717578961645,0.0,0.0
51,14.438659540437213,3.9889840465642745,0,0.0,0.0,0,0.0,0.0,,2.9444389791664403,0.0,0.0
