d3mIndex,mido
17,0.0
4025,0.0
8033,0.0
12042,0.0
16050,0.0
20059,0.0
24067,0.0
28076,0.0
32084,0.0
36093,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
18647,0.0
