d3mIndex,sftpcons,sftptv2a3,sftptv2a4,sftptv2a5,sftptv2a2,sftptv2a6,logim,maccat,disp4cat,stratidc
153,1,1,0,0,0,0,-0.2557317,0,1,197841
164,0,0,0,1,0,0,0.5078037999999999,0,1,196121
194,0,0,0,0,1,0,-0.8226812,0,0,196642
236,0,0,0,0,0,0,0.5631868,0,1,198511
186,0,0,0,0,1,0,-1.631417,0,0,199431
264,0,0,0,1,0,0,1.203973,0,0,199812
303,1,0,1,0,0,0,1.194108,0,1,199611
106,0,1,0,0,0,0,-0.06047339,0,1,197842
413,0,0,0,0,0,0,0.4460815,0,0,197213
63,0,0,0,0,0,0,0.31360770000000004,0,0,198011
315,1,0,0,0,0,0,0.6815595999999999,1,1,198322
390,0,0,0,0,0,0,0.2410189,0,0,199112
401,0,0,0,0,0,0,-1.028182,0,1,197221
429,0,0,0,0,0,0,-0.6413352,0,0,198052
89,1,0,1,0,0,0,0.3548104,0,0,196312
308,0,0,0,0,1,0,-2.036429,0,0,196731
93,0,0,0,0,1,0,-0.15758339999999998,0,0,196641
302,0,0,0,0,0,0,0.9217234,0,1,199012
282,0,0,0,0,0,0,0.4274242999999999,0,0,196721
255,0,0,0,1,0,0,1.04249,0,0,199711
92,1,0,1,0,0,0,0.9858544,0,0,199711
18,0,0,0,0,1,0,-1.727345,0,0,197121
145,0,0,0,0,0,0,0.8104511,0,0,196111
158,1,0,1,0,0,0,0.8270101000000001,0,0,199941
150,0,0,0,0,0,0,0.9606891,0,0,199611
229,0,0,0,0,0,0,0.616807,0,0,195951
210,0,0,0,0,0,0,0.06970946,0,1,198311
188,0,0,0,0,0,0,0.3850456,0,1,197212
394,0,0,0,0,0,0,0.007279819,0,0,197052
66,0,1,0,0,0,0,0.6846572,0,1,199411
283,0,0,0,0,0,0,0.4661481,0,0,197121
208,0,0,0,0,1,0,-2.246267,0,1,199721
140,0,1,0,0,0,0,-0.7741631,0,1,195631
101,1,0,0,0,0,0,-1.472299,0,1,196831
367,0,0,0,0,0,0,0.0,0,1,198151
444,0,0,0,0,0,0,0.7189439999999999,0,0,198651
374,1,0,0,0,0,0,1.23631,0,1,199112
17,0,0,0,0,1,0,-1.6841700000000002,0,0,196921
146,0,0,0,0,0,0,0.5333675999999999,0,0,196411
438,1,0,0,0,1,0,-0.6589808000000001,0,0,197141
418,0,0,1,0,0,0,-0.7350644000000001,0,0,197341
30,1,0,1,0,0,0,0.5835986,0,0,198011
114,1,0,1,0,0,0,1.0717290000000002,0,0,199911
449,1,0,0,0,0,0,0.616221,0,0,198651
103,0,0,0,0,1,0,-1.83058,0,0,199131
231,0,0,0,0,0,0,0.01160555,0,0,198052
284,0,1,0,0,0,0,0.5381001,0,0,198321
176,0,0,0,0,1,0,-1.021867,0,1,195751
407,0,0,0,0,0,0,0.7658522,0,0,199212
116,1,0,0,1,0,0,-0.9519272,0,0,198721
168,0,0,0,0,1,0,-1.586855,0,0,197131
378,0,1,0,0,0,0,-1.7991400000000002,0,0,198821
120,0,0,0,0,1,0,-1.636616,0,0,197131
230,0,0,0,0,0,0,0.3063113,0,0,196551
112,0,0,1,0,0,0,-1.068398,0,1,199631
295,1,0,0,0,0,1,0.33145690000000005,0,0,198012
357,0,0,0,0,0,0,0.7689762,0,1,198411
136,0,0,0,0,0,0,0.3054695,0,0,198511
190,0,0,0,0,0,0,0.6736661,0,1,198411
318,0,0,0,0,0,0,-0.3460507,0,1,196642
233,0,0,0,0,1,0,-0.9382696,0,0,199431
126,0,0,0,0,0,0,0.4193957,0,0,199112
386,0,0,0,1,0,0,-0.6612083000000001,0,1,196922
271,0,1,0,0,0,0,0.5847300999999999,0,0,195851
343,0,0,0,0,0,0,-0.1220242,0,0,197552
325,1,0,1,0,0,0,0.2037872,0,0,198241
133,0,0,0,0,0,0,-0.2354528,0,0,196711
33,0,0,0,0,0,0,0.6252307,0,1,195621
433,1,0,0,1,0,0,0.1689932,1,1,196611
162,0,0,0,0,1,0,-1.098612,0,0,199431
34,0,0,0,0,0,0,0.7152089,0,1,196021
44,0,0,1,0,0,0,0.3378493,0,0,198441
97,0,0,0,0,0,0,-0.6403597,0,0,196641
85,1,0,0,1,0,0,-0.2004921,0,1,198441
61,0,0,0,0,0,0,0.08799262,0,0,196511
167,1,0,1,0,0,0,0.5052803,0,1,198321
199,1,0,0,0,0,0,-0.13596979999999995,0,0,197051
173,1,0,0,0,0,0,0.2659933,0,1,197751
241,0,1,0,0,0,0,0.35811279999999995,0,0,197212
250,0,0,0,0,1,0,-0.784119,0,0,199411
447,0,0,0,0,0,0,0.4492677,0,0,197751
391,0,0,0,0,0,0,0.3559501,0,0,199411
347,0,0,1,0,0,0,-0.7896361,0,0,196721
108,0,0,0,0,0,0,0.4460386,0,1,195951
349,0,0,0,0,0,0,-0.7881501999999999,0,0,198322
218,1,0,0,0,1,0,0.5355448,1,0,196021
46,0,0,0,1,0,0,-0.2698067,0,0,199111
368,0,0,0,0,0,0,-0.1281599,0,1,198751
238,0,0,0,0,0,0,0.776167,0,1,199811
393,0,0,0,0,1,0,-2.078215,0,1,199631
73,0,0,0,0,0,0,0.7129890999999999,0,0,199111
137,0,0,0,0,0,0,0.3500353,0,0,198812
436,0,0,0,1,0,0,-0.5179431,0,0,199532
35,0,0,0,0,0,0,0.4770022,0,1,196721
263,1,0,0,0,0,0,1.033641,0,0,199011
29,0,0,0,0,0,0,0.5556024,0,0,196611
181,0,0,0,1,0,0,-1.418883,0,1,197851
332,1,0,0,0,0,1,0.3194463,0,1,197121
312,0,0,0,0,0,0,0.5308235,0,0,196251
51,1,0,0,0,0,0,0.4224764,0,1,198811
387,1,0,1,0,0,0,-0.7008573,0,1,198323
405,0,0,0,0,0,0,0.4935567,0,0,198012
217,0,0,0,0,0,0,0.3388848,0,0,199451
446,1,0,0,0,0,0,-0.7114005999999999,0,1,199831
27,1,1,0,0,0,0,0.5491368000000001,0,0,197211
2,1,0,0,0,0,0,0.805741,0,0,197851
232,0,0,0,0,0,0,-0.05562711,0,0,199151
268,0,0,0,0,0,0,0.4646128,0,0,198321
156,0,0,0,0,0,0,0.4618862,0,0,197741
306,0,0,0,0,1,0,-2.078191,0,0,199531
431,0,0,0,0,0,0,-0.6752718000000001,0,0,199151
235,0,0,0,0,0,0,0.29475640000000003,0,1,196911
316,1,0,1,0,0,0,-0.4846648,0,1,196841
138,0,0,0,0,0,0,0.8138274999999999,0,0,198311
212,0,1,0,0,0,0,0.7634637,0,1,200311
104,1,0,0,0,0,1,-0.02139577,0,1,196341
385,0,0,0,1,0,0,-0.6838448,0,1,196621
317,0,0,0,0,0,0,-0.351487,0,1,196341
322,0,0,1,0,0,0,-0.06200333,0,1,199141
215,0,0,0,0,0,0,-0.8793674000000001,0,0,198051
352,1,0,0,0,0,0,0.05327247,0,1,198931
189,0,0,0,0,0,0,0.537423,0,1,198111
214,0,0,0,0,0,0,-0.8279561,0,0,197151
204,0,0,0,0,1,0,-0.9797417,0,1,196021
234,0,0,0,0,0,0,0.1772282,0,1,196312
259,0,1,0,0,0,0,-0.2802074,0,0,198441
67,0,1,0,0,0,0,0.6740748000000001,0,1,199711
24,0,0,0,0,1,0,-0.9265572,0,0,195631
216,0,0,0,0,0,0,-1.129608,0,0,198751
223,1,0,0,0,0,0,0.8771368,0,0,198511
129,1,0,0,0,1,0,0.789774,0,0,199411
111,1,0,0,0,0,0,0.4177856,0,0,199251
166,0,0,0,1,0,0,0.4131597,0,1,197421
380,0,0,0,1,0,0,0.6809837,0,0,196411
360,0,1,0,0,0,0,-0.390177,0,1,196711
40,1,0,1,0,0,0,0.4785823,0,1,197421
328,1,0,1,0,0,0,-0.3340411,0,0,196922
79,1,0,1,0,0,0,-0.2119855,0,0,197341
287,0,0,0,0,1,0,-1.367965,0,1,196022
289,0,0,0,0,1,0,-1.7006990000000002,0,1,196921
13,1,0,0,1,0,0,-0.2998543,1,0,199531
375,0,1,0,0,0,0,-1.567623,0,0,197121
450,1,0,0,0,0,0,0.6242875,0,1,197711
228,1,0,1,0,0,0,0.8681206,0,0,199812
161,1,0,0,0,0,0,-0.3575091,0,1,195631
83,0,0,0,1,0,0,-0.02268528,0,1,196641
453,1,0,1,0,0,0,0.9597498,0,0,199612
430,0,0,0,0,0,0,-0.6290443,0,0,198651
110,0,0,0,0,0,0,0.3426717,0,0,197551
149,0,0,0,0,0,0,0.8654323,0,0,199211
152,0,1,0,0,0,0,-0.3285041,0,1,196841
