sftpcons,d3mIndex
1,153
1,164
0,194
0,236
1,186
0,264
1,303
0,106
0,413
0,63
1,315
0,390
0,401
0,429
1,89
0,308
0,93
0,302
1,282
0,255
1,92
0,18
0,145
1,158
0,150
0,229
0,210
0,188
0,394
0,66
1,283
1,208
0,140
0,101
0,367
0,444
0,374
0,17
0,146
0,438
0,418
1,30
1,114
1,449
0,103
0,231
1,284
0,176
1,407
1,116
0,168
0,378
0,120
0,230
0,112
1,295
1,357
0,136
0,190
0,318
0,233
0,126
1,386
1,271
0,343
1,325
0,133
0,33
1,433
0,162
0,34
0,44
0,97
1,85
0,61
1,167
0,199
1,173
0,241
0,250
0,447
0,391
1,347
0,108
0,349
1,218
0,46
0,368
0,238
0,393
0,73
0,137
1,436
0,35
0,263
0,29
0,181
1,332
0,312
1,51
1,387
0,405
1,217
0,446
1,27
1,2
0,232
0,268
0,156
0,306
0,431
0,235
0,316
0,138
1,212
1,104
1,385
0,317
0,322
0,215
1,352
0,189
0,214
1,204
0,234
1,259
0,67
0,24
0,216
0,223
0,129
1,111
1,166
0,380
1,360
1,40
1,328
1,79
0,287
0,289
1,13
0,375
1,450
1,228
0,161
0,83
1,453
0,430
0,110
0,149
0,152
0,16
0,310
0,109
1,451
1,139
0,237
1,260
1,329
0,366
0,248
1,353
0,19
1,296
0,269
1,226
1,351
0,3
0,320
0,125
0,280
0,286
0,77
1,184
1,345
1,434
1,275
1,294
0,414
0,182
1,409
1,80
0,307
1,258
1,11
0,342
0,86
0,266
0,36
0,437
0,58
1,41
1,270
1,50
0,209
0,363
1,362
0,379
0,123
0,222
0,62
1,346
0,130
0,187
0,23
0,43
1,0
0,201
1,439
0,98
0,304
1,443
0,178
1,256
0,94
0,423
0,95
1,426
0,169
0,69
0,305
1,48
0,341
1,207
0,279
1,227
0,148
0,143
0,334
0,180
1,356
0,131
1,410
1,454
0,262
0,324
0,203
1,84
1,121
0,397
0,420
0,91
1,82
0,267
1,119
1,358
0,291
0,57
0,321
1,257
0,376
1,408
0,42
0,105
1,388
0,422
0,273
1,406
1,38
1,389
0,53
0,399
0,128
0,290
0,28
0,183
0,370
1,163
0,151
0,244
0,202
0,31
0,32
0,127
0,185
1,427
0,288
0,398
1,416
0,147
1,285
0,424
0,177
0,99
0,338
0,335
0,197
0,243
0,115
0,404
0,265
0,72
1,333
0,25
1,165
0,337
0,440
1,174
0,442
0,39
1,193
0,314
0,396
0,88
0,70
0,87
0,292
0,242
0,277
1,211
1,9
0,359
0,195
0,251
1,323
0,192
1,117
1,47
1,172
