sftpcons,d3mIndex
0,343
0,254
1,170
0,200
0,429
1,464
0,271
0,311
0,106
0,308
0,63
0,463
1,400
0,411
0,268
1,89
1,322
0,93
1,233
0,410
1,380
1,92
0,18
0,145
1,158
0,150
0,236
0,219
0,246
0,194
0,287
0,66
1,393
0,263
1,140
1,101
1,365
0,249
0,383
0,17
1,146
0,247
0,239
1,30
1,114
0,196
0,103
0,238
0,357
0,176
1,339
0,116
1,168
0,401
0,120
1,301
0,112
0,315
0,422
0,136
0,190
0,326
0,240
0,126
0,264
1,332
0,382
0,351
0,441
0,133
0,33
1,445
1,162
0,34
0,44
0,97
1,85
0,61
0,167
0,199
0,173
0,366
0,451
0,459
0,425
0,312
0,108
1,392
0,218
0,46
0,377
0,245
1,281
0,73
0,137
0,448
0,35
0,303
0,29
0,181
1,340
1,320
1,51
0,385
0,415
1,217
0,458
1,27
1,2
0,232
0,395
0,156
1,450
0,443
1,235
1,381
0,138
0,212
1,104
0,329
0,325
1,330
0,215
1,361
0,189
0,214
1,204
1,234
0,259
0,67
0,24
0,216
0,223
0,129
0,111
1,166
1,390
1,369
1,40
0,274
1,336
1,79
0,295
0,297
1,13
0,387
1,462
0,228
0,161
0,83
1,465
0,442
1,110
1,149
0,152
0,16
0,318
0,109
0,331
1,139
0,237
0,260
1,444
0,375
0,248
0,362
0,19
0,296
0,269
0,226
1,360
0,3
0,328
0,125
0,280
0,286
0,77
0,184
1,353
0,446
0,275
0,294
0,408
0,182
0,419
1,80
0,307
0,258
1,11
0,350
0,86
0,266
0,36
1,449
0,58
0,41
1,270
0,50
0,209
0,372
1,371
1,406
0,123
0,222
0,62
0,354
0,130
0,187
0,23
0,43
0,0
0,201
1,399
0,98
0,349
0,304
0,455
1,178
0,256
0,94
0,435
0,95
0,414
0,169
0,69
0,305
0,48
0,341
0,207
1,279
0,227
0,148
0,143
0,334
1,180
0,356
0,131
0,420
1,466
0,262
0,324
1,203
0,84
1,121
0,407
0,433
0,384
0,91
1,82
0,267
1,119
0,358
0,291
0,57
0,321
0,257
1,376
0,418
0,42
0,105
0,388
0,434
0,273
0,416
0,38
0,389
0,53
0,409
0,128
0,290
0,28
0,183
0,370
1,163
0,151
0,244
0,202
0,31
0,32
0,127
0,185
0,439
1,288
0,423
1,398
0,427
0,147
0,285
0,436
0,177
1,99
0,338
0,431
1,335
0,197
0,243
0,115
0,404
0,265
0,72
0,333
0,25
0,165
0,337
0,452
0,174
0,454
1,39
0,193
0,314
0,396
1,88
0,70
0,87
1,292
0,242
0,277
0,211
1,9
1,359
0,195
0,251
1,323
0,192
0,117
1,47
1,172
