d3mIndex,sftpcons,log_gdpc,logtpop,logmtn,feanctig,floil,sftpdur2,ethherf,relhrel,anocracy,democracy,stratidc
153,1,7.407506,6.605298,1.1939229999999998,0,0,0,0.37565,0.2625988,1,0,197841
164,0,5.229342,12.97707,2.631889,1,0,0,0.1941172,0.6971676,0,1,196121
194,0,6.468522,7.458763,1.335001,0,0,0,0.625862,0.5718698,0,1,196642
236,0,6.9898880000000005,7.455877,0.0,0,0,0,0.4030312,0.9802,0,0,198511
186,0,9.818413,10.94958,3.144152,1,0,0,0.8915388000000001,0.68994,0,1,199431
264,0,6.6999070000000005,9.272657,0.3364722,0,0,0,0.20557110000000006,0.7566,0,1,199812
303,1,6.6867220000000005,9.075093,1.131402,0,0,1,0.3608022,0.8378959999999999,0,1,199611
106,0,7.125098,8.551208,2.8564700000000003,0,0,0,0.5656936,0.906918,1,0,197842
413,0,6.214708,7.607877999999999,0.0,0,0,0,0.1860205,0.394006,0,0,197213
63,0,6.4183650000000005,9.018817,2.9285240000000003,0,0,0,0.177672,0.25598200000000004,0,0,198011
315,1,6.692939,11.33113,3.78419,0,0,0,0.4035722000000001,0.5460595,0,0,198322
390,0,7.878913000000002,6.7105229999999985,2.785011,0,0,0,0.8466075000000001,0.273272,0,0,199112
401,0,6.748817999999999,9.593967999999998,3.862833,0,0,0,0.648342,0.4356123,0,0,197221
429,0,9.948605,6.6795990000000005,0.0,0,1,0,0.5037389,0.4164314,0,0,198052
89,1,5.4281169999999985,6.936342999999999,0.0,0,0,0,0.4257939,0.3631586,1,0,196312
308,0,7.910363,9.416948,0.0,1,0,0,0.9138433,0.363628,0,1,196731
93,0,6.761596000000001,7.3343289999999985,3.144152,0,0,0,0.8448913,0.8415751,0,1,196641
302,0,6.670056,8.878636,1.131402,0,0,0,0.2862429,0.775886,0,0,199012
282,0,5.26326,9.303831,4.31348,0,0,0,0.3491404,0.7749451,0,0,196721
255,0,6.457602,9.21503,2.282382,0,0,1,0.1877648,0.2368044,0,1,199711
92,1,7.240564,7.984803,0.0,0,1,0,0.3275555,0.3756646,1,0,199711
18,0,8.349702,9.415972,1.131402,1,0,0,0.9923792,0.5248206999999999,0,1,197121
145,0,6.579682000000001,8.029433000000001,1.435085,0,0,0,0.2963946,0.486,0,0,196111
158,1,7.6407669999999985,8.948066,2.7972810000000004,0,0,0,0.9050288,0.6300081,0,1,199941
150,0,7.836255,8.867567999999997,1.435085,0,0,0,0.2649443,0.5912255,1,0,199611
229,0,6.458338,7.095064,1.954698,0,1,0,0.8235511999999999,0.9608,0,0,195951
210,0,6.573233,9.741028,3.306887,0,0,0,0.16720339999999995,0.2191436,0,0,198311
188,0,6.808509,8.616314,0.3364722,0,0,0,0.1653743,0.4041442,0,0,197212
