d3mIndex,mido
3.0,0
4012.8888888888896,0
8022.777777777779,0
12032.666666666699,0
16042.5555555556,0
20052.444444444398,0
24062.3333333333,0
28072.2222222222,0
32082.1111111111,0
36092.0,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
18156.5,0
