nvc.start.1,d3mIndex
0,333
0,7000
0,690
0,3354
0,854
0,4298
0,3488
0,5150
0,4237
0,1606
0,480
0,6681
0,2898
0,2102
0,446
0,6740
0,1273
0,552
0,549
0,6747
0,5532
0,3673
0,6668
0,5747
0,1212
0,2089
0,6751
0,5065
0,2242
0,4565
1,1231
0,5077
0,4631
0,5997
0,3740
0,4261
0,6991
0,789
0,561
0,298
0,5887
1,1299
0,3161
0,4513
0,4431
0,6197
0,2571
0,3583
0,3453
0,5329
1,6649
0,7099
0,1846
1,4929
0,3558
0,2079
0,3214
0,1804
0,5174
0,3053
0,3739
0,1197
0,896
0,18
0,2260
0,3728
0,1994
0,5327
0,1303
0,474
0,1789
0,6247
0,6374
0,2133
0,567
0,2601
0,1149
1,2776
0,5796
0,3626
0,6208
0,4894
0,6179
1,6091
0,4349
0,1596
0,4780
0,5805
0,1493
0,4664
0,2265
0,5895
0,6618
0,2183
0,2115
0,1430
0,6080
0,669
0,5339
0,5211
0,6882
0,829
0,5045
0,453
0,3181
0,2630
0,1521
0,2621
1,2875
0,6153
0,5777
0,1367
0,7150
0,3896
0,4172
0,4673
0,4519
0,2139
0,598
0,3970
0,4411
0,5079
0,2368
0,6684
0,2701
0,1393
0,7148
0,3202
0,866
0,2436
0,3471
1,5167
0,5136
0,6992
0,4229
0,1194
0,6030
0,5235
0,710
0,6162
0,1556
0,1431
0,4447
0,1390
0,3432
0,1223
0,64
0,5309
0,2972
0,1395
0,3712
0,4816
0,6498
0,1272
0,3464
0,2915
1,5177
0,5629
0,4244
0,5838
0,3203
0,2350
0,3774
0,6901
0,6806
0,5202
0,6326
0,6555
0,491
0,2240
0,3540
0,5467
0,3710
0,463
0,6960
0,3497
0,1767
1,2755
0,3568
0,5522
0,3169
0,4596
0,2201
0,5318
0,5684
0,3805
0,1989
1,6952
0,1203
0,1418
0,6344
0,5585
0,4520
0,3101
0,1519
0,2132
0,3875
0,2177
0,1569
0,218
0,3660
0,5454
0,5450
0,6663
0,5676
0,4788
0,1275
0,763
0,5053
0,5236
0,325
0,6702
0,4649
1,4973
0,4254
0,655
0,6349
0,6117
0,428
1,1236
0,3184
0,727
0,2147
0,5244
0,1763
0,2406
0,5583
0,4218
0,4670
0,6194
0,242
0,1507
0,4425
0,4216
0,6581
0,5082
0,1990
0,799
0,3553
0,5422
0,562
0,4321
0,95
0,1050
0,4632
0,461
0,314
0,6165
0,1620
0,2531
0,3981
0,2966
0,3234
0,5033
0,4086
0,6229
0,2894
0,1177
0,5373
0,6699
0,4848
0,4386
0,3132
0,4100
0,1587
0,4890
0,3637
0,117
0,2708
1,6983
0,3731
0,7114
0,3833
0,3991
0,1544
0,1996
0,1067
0,3683
0,2655
0,556
0,6192
0,1002
0,1176
0,2700
0,1012
0,2244
0,5857
1,7219
0,1471
0,5154
0,3157
0,1346
0,953
0,788
0,2647
0,4732
0,1191
0,7088
0,6911
0,203
0,6095
0,3281
0,1005
0,5834
0,1424
