"d3mIndex","pmid","py","py2","py3","minpol","rbal","lnkmdist","mido"
4,0,26,676,17576,-3,0.116010163243004,8.00034949532468,0
4013.66666666667,0,26,676,17576,-3,0.116010163243004,8.00034949532468,0
8023.33333333333,0,26,676,17576,-3,0.116010163243004,8.00034949532468,0
12033,0,26,676,17576,-3,0.116010163243004,8.00034949532468,0
16042.6666666667,0,26,676,17576,-3,0.116010163243004,8.00034949532468,0
20052.3333333333,0,26,676,17576,-3,0.116010163243004,8.00034949532468,0
24062,0,26,676,17576,-3,0.116010163243004,8.00034949532468,0
28071.6666666667,0,26,676,17576,-3,0.116010163243004,8.00034949532468,0
32081.3333333333,0,26,676,17576,-3,0.116010163243004,8.00034949532468,0
36091,0,26,676,17576,-3,0.116010163243004,8.00034949532468,0
17844.5,0,26,676,17576,-3,0.116010163243004,8.00034949532468,0
17844.5,1,26,676,17576,-3,0.116010163243004,8.00034949532468,0
17844.5,0,0,676,17576,-3,0.116010163243004,8.00034949532468,0
17844.5,0,12,676,17576,-3,0.116010163243004,8.00034949532468,0
17844.5,0,24,676,17576,-3,0.116010163243004,8.00034949532468,0
17844.5,0,36,676,17576,-3,0.116010163243004,8.00034949532468,0
17844.5,0,48,676,17576,-3,0.116010163243004,8.00034949532468,0
17844.5,0,60,676,17576,-3,0.116010163243004,8.00034949532468,0
17844.5,0,72,676,17576,-3,0.116010163243004,8.00034949532468,0
17844.5,0,84,676,17576,-3,0.116010163243004,8.00034949532468,0
17844.5,0,96,676,17576,-3,0.116010163243004,8.00034949532468,0
17844.5,0,108,676,17576,-3,0.116010163243004,8.00034949532468,0
17844.5,0,26,0,17576,-3,0.116010163243004,8.00034949532468,0
17844.5,0,26,1296,17576,-3,0.116010163243004,8.00034949532468,0
17844.5,0,26,2592,17576,-3,0.116010163243004,8.00034949532468,0
17844.5,0,26,3888,17576,-3,0.116010163243004,8.00034949532468,0
17844.5,0,26,5184,17576,-3,0.116010163243004,8.00034949532468,0
17844.5,0,26,6480,17576,-3,0.116010163243004,8.00034949532468,0
17844.5,0,26,7776,17576,-3,0.116010163243004,8.00034949532468,0
17844.5,0,26,9072,17576,-3,0.116010163243004,8.00034949532468,0
17844.5,0,26,10368,17576,-3,0.116010163243004,8.00034949532468,0
17844.5,0,26,11664,17576,-3,0.116010163243004,8.00034949532468,0
17844.5,0,26,676,0,-3,0.116010163243004,8.00034949532468,0
17844.5,0,26,676,139968,-3,0.116010163243004,8.00034949532468,0
17844.5,0,26,676,279936,-3,0.116010163243004,8.00034949532468,0
17844.5,0,26,676,419904,-3,0.116010163243004,8.00034949532468,0
17844.5,0,26,676,559872,-3,0.116010163243004,8.00034949532468,0
17844.5,0,26,676,699840,-3,0.116010163243004,8.00034949532468,0
17844.5,0,26,676,839808,-3,0.116010163243004,8.00034949532468,0
17844.5,0,26,676,979776,-3,0.116010163243004,8.00034949532468,0
17844.5,0,26,676,1119744,-3,0.116010163243004,8.00034949532468,0
17844.5,0,26,676,1259712,-3,0.116010163243004,8.00034949532468,0
17844.5,0,26,676,17576,-10,0.116010163243004,8.00034949532468,0
17844.5,0,26,676,17576,-7.77777777777778,0.116010163243004,8.00034949532468,0
17844.5,0,26,676,17576,-5.55555555555556,0.116010163243004,8.00034949532468,0
17844.5,0,26,676,17576,-3.33333333333333,0.116010163243004,8.00034949532468,0
17844.5,0,26,676,17576,-1.11111111111111,0.116010163243004,8.00034949532468,0
17844.5,0,26,676,17576,1.11111111111111,0.116010163243004,8.00034949532468,0
17844.5,0,26,676,17576,3.33333333333333,0.116010163243004,8.00034949532468,0
17844.5,0,26,676,17576,5.55555555555556,0.116010163243004,8.00034949532468,0
17844.5,0,26,676,17576,7.77777777777778,0.116010163243004,8.00034949532468,0
17844.5,0,26,676,17576,10,0.116010163243004,8.00034949532468,0
17844.5,0,26,676,17576,-3,1.25130122015181e-05,8.00034949532468,0
17844.5,0,26,676,17576,-3,0.111122233788624,8.00034949532468,0
17844.5,0,26,676,17576,-3,0.222231954565046,8.00034949532468,0
17844.5,0,26,676,17576,-3,0.333341675341468,8.00034949532468,0
17844.5,0,26,676,17576,-3,0.44445139611789,8.00034949532468,0
17844.5,0,26,676,17576,-3,0.555561116894312,8.00034949532468,0
17844.5,0,26,676,17576,-3,0.666670837670734,8.00034949532468,0
17844.5,0,26,676,17576,-3,0.777780558447156,8.00034949532468,0
17844.5,0,26,676,17576,-3,0.888890279223578,8.00034949532468,0
17844.5,0,26,676,17576,-3,1,8.00034949532468,0
17844.5,0,26,676,17576,-3,0.116010163243004,3.43398720448515,0
17844.5,0,26,676,17576,-3,0.116010163243004,4.06460252251317,0
17844.5,0,26,676,17576,-3,0.116010163243004,4.6952178405412,0
17844.5,0,26,676,17576,-3,0.116010163243004,5.32583315856922,0
17844.5,0,26,676,17576,-3,0.116010163243004,5.95644847659725,0
17844.5,0,26,676,17576,-3,0.116010163243004,6.58706379462527,0
17844.5,0,26,676,17576,-3,0.116010163243004,7.2176791126533,0
17844.5,0,26,676,17576,-3,0.116010163243004,7.84829443068132,0
17844.5,0,26,676,17576,-3,0.116010163243004,8.47890974870934,0
17844.5,0,26,676,17576,-3,0.116010163243004,9.10952506673737,0
17844.5,0,26,676,17576,-3,0.116010163243004,8.00034949532468,0
17844.5,0,26,676,17576,-3,0.116010163243004,8.00034949532468,1
