mido,d3mIndex
0,25.0
0,3033.1111111111104
0,6041.222222222221
0,9049.33333333333
0,12057.4444444444
0,15065.5555555556
0,18073.6666666667
0,21081.7777777778
0,24089.8888888889
0,27098.0
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
0,13596.5
