mido,d3mIndex
0,16.0
0,4024.3333333333294
0,8032.66666666667
0,12041.0
0,16049.333333333301
0,20057.6666666667
0,24066.0
0,28074.3333333333
0,32082.6666666667
0,36091.0
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
0,18245.5
