d3mIndex,pmid,py,py2,py3,minpol,rbal,lnkmdist,mido
9520,0,4,16,64.0,3.0,0.129477292202228,7.029972911706389,0
2185,0,20,400,8000.0,-3.0,0.531552587646077,8.18479265416508,0
20087,0,78,6084,474552.0,-8.0,0.01441679527066,8.56063574925907,0
4211,1,0,0,0.0,-9.0,0.43850292843197897,7.03085747611612,1
23533,1,2,4,8.0,7.0,0.033172759348467,7.999342952713278,0
12603,0,73,5329,389017.0,-10.0,0.667869137952482,7.5416830998821105,0
8679,0,60,3600,216000.0,-10.0,0.140826338020638,8.6447065117152,0
24860,0,30,900,27000.0,9.0,0.0319170813967836,7.319864929808968,0
12399,0,33,1089,35937.0,-9.0,0.5233395572152569,7.554334823725751,0
16628,0,23,529,12167.0,2.0,0.0734297591253345,8.76139348525606,0
12170,0,27,729,19683.0,6.0,0.405079275992704,7.15070145759253,0
18817,0,64,4096,262144.0,-3.0,0.124112663155484,8.061486866871329,0
22682,0,23,529,12167.0,4.0,0.121532128154645,8.39773375137891,0
20453,0,84,7056,592704.0,-5.0,0.125150595152041,8.685584842676692,0
3624,1,7,49,343.0,-2.0,0.25206034826532003,7.5538108520082305,0
1076,0,16,256,4096.0,-6.0,0.0553749593658573,8.16394095475501,0
15981,0,43,1849,79507.0,-9.0,0.6477699888245451,7.86326672400957,0
10474,0,39,1521,59319.0,-5.0,0.158613640587251,8.656955133791401,0
10660,1,1,1,1.0,-3.0,0.275534851621808,5.505331535932361,0
21910,0,47,2209,103823.0,-5.0,0.274548736462094,8.02551638648901,0
10313,0,18,324,5832.0,-5.0,0.5671830985915489,8.26539293085222,0
1965,1,13,169,2197.0,-7.0,0.326661599527067,7.207118856207759,0
13503,0,7,49,343.0,-8.0,0.423928238583411,8.29179710504873,0
12301,0,17,289,4913.0,-3.0,0.369302171390685,7.7066129139642,0
22928,1,63,3969,250047.0,7.0,0.156006186032772,7.70210434005105,0
5275,0,29,841,24389.0,3.0,0.00487085966502831,9.03384182848502,0
8574,0,39,1521,59319.0,2.0,0.8223459877244829,8.28223006329669,0
24462,0,28,784,21952.0,-6.0,0.993614001892148,7.29844510150815,0
2728,0,27,729,19683.0,-9.0,0.232978293110422,7.827240901752808,0
21010,0,7,49,343.0,-3.0,0.0076327072078134295,8.49515206053936,0
15244,0,38,1444,54872.0,-9.0,0.0885700148441366,6.9707300781435295,0
8866,0,79,6241,493039.0,-8.0,0.10506572326085,8.69767973226446,0
3941,0,75,5625,421875.0,-8.0,0.122350112916151,7.34923082461333,0
7170,0,26,676,17576.0,-8.0,0.0292821537794688,7.999342952713278,0
18689,0,26,676,17576.0,-6.0,0.42020135335864,7.56579328242851,0
21789,0,66,4356,287496.0,-7.0,0.14280888438476502,7.76302130901852,0
19710,0,8,64,512.0,-5.0,0.275287931897847,7.65964295456468,0
22787,1,83,6889,571787.0,1.0,0.271186928254991,6.97447891102505,0
26356,0,100,10000,1000000.0,7.0,0.509987770077456,8.2872767558146,0
5521,1,3,9,27.0,0.0,0.0020044838317249,7.734558844354758,0
11021,0,11,121,1331.0,-6.0,0.4555239946180301,7.5352967024440884,0
26648,0,92,8464,778688.0,6.0,0.0864666208957635,7.65964295456468,0
16219,0,64,4096,262144.0,-5.0,0.224593542477673,8.106816038947048,0
4336,1,17,289,4913.0,2.0,0.16635975394742,5.370638028127661,0
1316,0,76,5776,438976.0,-8.0,0.0721082049750395,8.30251371851416,0
3181,1,0,0,0.0,-10.0,0.033344935607379,7.319202458767849,0
727,0,63,3969,250047.0,-1.0,0.533981149996347,8.43468076984177,0
9378,0,38,1444,54872.0,-6.0,0.329919809276116,7.48885295573346,0
9610,0,10,100,1000.0,-6.0,0.165124373885729,7.140453043101162,0
13551,0,1,1,1.0,-1.0,0.13139475414627,8.51238163441901,0
8966,0,11,121,1331.0,2.0,0.285670810216073,8.830104317913788,0
3807,0,31,961,29791.0,2.0,0.661476409342463,7.75233516330229,0
20541,0,82,6724,551368.0,-7.0,0.8810385523210071,8.70731756027321,0
5324,0,78,6084,474552.0,-8.0,0.00441257033291866,9.03384182848502,0
495,0,11,121,1331.0,-5.0,0.183698800165494,8.23244015847034,0
7767,0,66,4356,287496.0,10.0,0.0202417992710463,8.29629711264251,0
12637,0,25,625,15625.0,-9.0,0.125563063063063,7.4916454736051294,0
6283,1,28,784,21952.0,-1.0,0.0005347292779221152,8.10922495308995,0
10228,0,2,4,8.0,-3.0,0.0574517291453773,8.43836641087027,0
4102,0,56,3136,175616.0,-9.0,0.381475882918785,6.919683849847409,0
23102,1,94,8836,830584.0,8.0,0.186685487068954,8.81314100828505,0
18142,0,11,121,1331.0,-6.0,0.560551361995405,5.30330490805908,0
