d3mIndex,log(wdi.pop),log(xxxcimr),wdi.gdpchg.s,sqrt(wdi.cpi),log1p(bnn.yroff),elceleth.c,dispota4.c,cir.physint,I(cir.physint^2),nvc.start.1
3071,15.348407541002949,-0.1875730332505572,2.14705674727868,2.5800419506386385,1.0986122886681096,0.0,0.0,3.0,9.0,0.0
4139,15.287871370605645,-0.2559615466715429,,8.050231317897543,3.1354942159291497,0.0,0.0,2.0,4.0,0.0
6511,16.804117506575675,-0.8206155218832742,2.76916808790854,8.005517856698653,0.6931471805599453,1.0,1.0,2.0,4.0,0.0
3343,16.561267249439812,0.3245631822846332,,,1.9459101490553128,1.0,1.0,0.0,0.0,0.0
7223,16.91038778553188,0.9312091303676484,2.25831837079842,7.004798141239745,2.4849066497880004,0.0,1.0,3.0,9.0,0.0
381,15.854780934954832,0.5841372627048523,-3.435112807463529,6.526075485709142,1.0986122886681096,1.0,0.0,4.0,16.0,0.0
3136,16.144403543646952,-1.2559026886623001,2.0182813645018,6.921471512565959,0.0,0.0,0.0,8.0,64.0,0.0
3327,16.07577002655303,0.14614756119297284,,8.429113757548933,0.6931471805599453,1.0,0.0,,,0.0
8127,15.085845376103993,-0.4533730490659608,2.6634698725295203,10.0,0.0,1.0,0.0,5.0,25.0,0.0
8328,18.016989077366766,-0.2900377861678249,2.7689661967789503,10.341108320343036,0.6931471805599453,0.0,0.0,,,1.0
4399,13.77870652229218,0.19080526416564086,5.26221306040942,,1.6094379124341005,1.0,1.0,,,0.0
1391,15.925966031990528,-0.11549838508414233,2.47316898640571,,1.791759469228055,0.0,0.0,,,0.0
5061,17.775725339039337,0.2468904320020864,-3.96782411475533,0.28328322111966553,0.6931471805599453,1.0,1.0,,,0.0
6145,14.512085855809865,-1.7332632625987192,2.41859517742418,9.430749817563909,1.6094379124341005,0.0,0.0,7.0,49.0,0.0
223,17.227991341940918,-0.7602415447101096,-2.75439234495547,,1.0986122886681096,0.0,0.0,7.0,49.0,0.0
7735,17.161822657910008,1.7171874520682555,2.9040128241872103,10.0,2.302585092994046,0.0,0.0,3.0,9.0,0.0
1662,17.33383609422835,0.9538225685627212,-1.12518915546497,1.509582042264921e-05,3.218875824868201,1.0,1.0,3.0,9.0,0.0
5812,16.932964323485926,-0.9005184655824711,2.46981742670617,,2.9444389791664403,1.0,1.0,4.0,16.0,0.0
5753,12.232159407793329,-0.27880695124457083,,5.581445628661046,2.079441541679836,0.0,0.0,,,0.0
3357,16.954971158250242,0.6649631430152204,,4.159008577710342,3.0445224377234235,1.0,0.0,0.0,0.0,0.0
2554,13.120006602390552,,,,,,,,,0.0
7481,,0.1408614476975866,,,0.0,0.0,1.0,,,0.0
7266,13.960273020351586,-0.5925853508406943,-2.59216438266788,,2.4849066497880004,0.0,0.0,8.0,64.0,0.0
4183,14.504492576266644,-0.7825434109075851,1.20006400453375,8.63538794184402,1.9459101490553128,1.0,0.0,6.0,36.0,0.0
7495,16.25599603562264,-0.24961922526409136,1.13260987969784,,1.3862943611198906,0.0,1.0,,,0.0
3524,17.858107336569322,-1.9465637437017675,1.36478109962903,9.107767054275195,0.0,0.0,0.0,7.0,49.0,0.0
361,15.886934796787918,-1.8728039303390631,1.54987701658557,8.679301291265478,2.19722457733622,0.0,0.0,7.0,49.0,0.0
1778,16.07140207740598,-1.2901623997977842,2.32979836576965,,2.8903717578961645,0.0,0.0,,,0.0
3032,16.027068914099537,0.8747699996268758,-1.8738551377357304,7.594778461559192,0.0,0.0,0.0,2.0,4.0,1.0
7990,14.348638623062596,,0.50497524691817,10.394159814842947,,,,,,
5963,15.026433454350414,0.11458966137098098,-0.36910074714573693,,1.0986122886681096,0.0,0.0,,,0.0
3583,14.333391434797877,,,0.3485926716326564,,,,,,0.0
2731,16.7506981377575,0.619778809287897,1.92353840616708,4.5955366670577105,0.0,0.0,0.0,5.0,25.0,0.0
4209,15.782957264363509,0.4426095291811593,-1.6181712977164298,0.8886219473236119,0.6931471805599453,1.0,0.0,,,0.0
7827,16.558946178155058,1.2979983592984503,2.81774710337714,10.0,3.1780538303479458,0.0,0.0,5.0,25.0,0.0
2259,15.637392424629569,-0.07855001090821699,-1.7700413220236495,9.954916376181213,0.0,0.0,0.0,5.0,25.0,0.0
977,15.933218992670954,-0.26331490338151325,-1.2827822833721798,6.463622098532215,0.0,0.0,0.0,5.0,25.0,0.0
6644,15.948076784761446,-2.1434966989098987,1.5996995666448302,7.6433820385810884,1.0986122886681096,0.0,0.0,8.0,64.0,0.0
7159,17.96141102758811,0.1301515016727884,2.60277838075566,4.3908460172620485,0.0,1.0,1.0,2.0,4.0,0.0
2278,12.701546024341493,0.8599311951997933,-1.52661598001718,5.584837501926971,2.079441541679836,1.0,1.0,,,0.0
5108,,-0.2426946241803583,,,2.7080502011022096,0.0,0.0,,,0.0
349,15.840250371561401,-1.5647837148328807,1.4181870027118,7.236123654479372,2.5649493574615367,0.0,0.0,8.0,64.0,0.0
3380,14.881065765876949,-1.4384315483269492,,2.5777344607228416,0.6931471805599453,0.0,0.0,,,0.0
5695,15.996799501537893,-0.23647366405361056,,1.1246391107894431,3.218875824868201,0.0,0.0,,,0.0
5035,15.895459221036315,1.3898939150704592,1.58246746282369,6.9456505230946375,0.0,1.0,1.0,7.0,49.0,0.0
4542,15.125463685827446,,-4.00000000000004,,,,,,,0.0
621,16.150832407857212,-1.7914199680650973,1.1660418802970902,9.208920685321377,1.3862943611198906,0.0,0.0,8.0,64.0,0.0
5367,18.710342046435525,0.9727706675331614,1.00717228694168,6.1063895742860925,0.0,1.0,1.0,2.0,4.0,0.0
216,17.122144224481357,-0.6392188385118898,-2.12276348133172,,1.0986122886681096,0.0,1.0,,,0.0
1106,15.828198861162937,0.9243879421258068,,,1.3862943611198906,0.0,1.0,,,0.0
4477,13.986832675449849,-0.6731803061648237,3.00443240259315,7.541416748422043,0.0,0.0,0.0,6.0,36.0,0.0
2811,15.504797190026677,0.03484321162808364,2.3891177475915097,1.3796086971048855,0.0,1.0,1.0,,,0.0
1327,15.174843453341934,1.432321444518876,2.44846721890878,8.866692593514939,0.6931471805599453,0.0,0.0,3.0,9.0,0.0
2459,15.342937009334399,-1.997582159251907,2.3095254472914304,3.583309672013627,2.7080502011022096,0.0,0.0,,,0.0
2984,,0.5873726719410798,,,0.0,1.0,0.0,,,0.0
8054,16.650927824539274,,2.44949015393338,10.978914935621553,,,,,,
867,14.320729895836394,-0.015378222657247734,2.8331164865572407,5.939745573237644,2.8903717578961645,0.0,0.0,7.0,49.0,0.0
1586,13.907604662647696,0.3826449641403866,-2.00731173919819,,0.0,1.0,0.0,,,0.0
5307,14.49130097765662,-0.3579889591644398,2.9006694798899706,,3.1354942159291497,0.0,0.0,8.0,64.0,0.0
4109,14.206592725704985,0.294848759317876,,,2.3978952727983707,0.0,0.0,,,0.0
7550,18.05891428881222,-0.10737978122522003,2.8412551200316103,,1.0986122886681096,0.0,0.0,5.0,25.0,0.0
4100,15.074623039852545,1.2021807621270504,3.9608130063095897,8.593292291524403,0.6931471805599453,0.0,0.0,6.0,36.0,0.0
1979,12.912207618390946,0.6061437857020946,,9.895224835061066,2.079441541679836,1.0,1.0,,,0.0
1245,17.308616218309098,-1.5666240067667314,1.41714890404387,9.782260266062922,0.6931471805599453,0.0,0.0,6.0,36.0,0.0
4543,15.126272856471727,-0.3303468647146159,-5.394441583704469,,0.6931471805599453,1.0,0.0,4.0,16.0,0.0
2001,13.576674521136962,0.9356995498336944,2.19085934798919,8.972767076829593,2.079441541679836,0.0,0.0,6.0,36.0,0.0
465,13.55681495571851,-0.6645638473316952,2.45437415129613,9.128503424196731,1.6094379124341005,1.0,0.0,7.0,49.0,0.0
7044,14.038906877329948,-0.5021028270477627,1.88733292584192,6.327855606294497,1.3862943611198906,1.0,0.0,5.0,25.0,0.0
7081,15.588714432028274,0.14253762893837832,1.84691512083983,,3.0910424533583165,0.0,0.0,,,0.0
5904,16.14014682680475,1.0433214701857758,3.34500470424387,9.410818803336005,2.7080502011022096,1.0,0.0,4.0,16.0,0.0
5032,15.803415042650812,1.3113337352333454,2.62661792497919,7.367065972077112,0.6931471805599453,1.0,1.0,7.0,49.0,0.0
3790,17.067400644983206,0.5503199463694077,0.594304017124199,4.398887805020924,2.772588722239781,1.0,1.0,5.0,25.0,0.0
1171,16.246523517720878,0.4758537281869344,-2.7970756111369104,6.872114632913299,1.9459101490553128,1.0,1.0,4.0,16.0,0.0
7826,15.798594684179891,,0.947973717271419,10.404528557942498,,,,,,
3335,16.338141368937773,0.16974875735400785,,11.09569316353138,2.302585092994046,1.0,1.0,,,0.0
6730,15.468884778406196,0.035106568095014536,3.0448914161043703,1.2371756586996772,0.6931471805599453,1.0,1.0,,,0.0
7510,16.721099117515582,-0.2770450542540265,1.89252478619541,,1.3862943611198906,0.0,1.0,4.0,16.0,0.0
3931,14.77652146855634,-0.7726659165306334,-5.6673248066492485,3.449521071620248,0.6931471805599453,1.0,1.0,8.0,64.0,0.0
6226,15.951679490051248,1.4725647575595595,,,0.6931471805599453,1.0,0.0,,,0.0
1840,13.5096332856124,-1.2954627321606975,2.94054052179303,7.002903063561819,0.0,1.0,0.0,8.0,64.0,0.0
6289,,-0.2684332486725428,,,2.3978952727983707,0.0,0.0,,,0.0
2764,16.0594023067741,-1.3679931969260872,2.69199987424082,1.8763583525103384,1.6094379124341005,0.0,1.0,,,0.0
2716,16.358441353219913,0.3473016531011467,2.2564613827079,0.7413442110762408,1.6094379124341005,0.0,0.0,5.0,25.0,0.0
803,15.848300908739452,0.5407227969672166,2.16293247806146,6.799773675533216,1.0986122886681096,1.0,0.0,5.0,25.0,0.0
6818,,-1.5327008463785181,,,2.302585092994046,1.0,0.0,8.0,64.0,0.0
7678,15.677279492883358,0.4727203301074268,-1.40238701500621,,2.9957322735539913,1.0,0.0,4.0,16.0,0.0
1669,17.57955780278294,1.0405383710589144,-1.01151996631151,0.27318842140917177,3.4657359027997265,1.0,1.0,,,0.0
3635,,-0.9979664355560242,,,1.0986122886681096,0.0,1.0,,,1.0
4534,18.485753444265832,-0.2329538240659716,0.36320403169834703,8.410226402217749,1.0986122886681096,0.0,0.0,2.0,4.0,0.0
415,12.491616182945071,,-1.95590969649488,8.415351226747212,,,,,,0.0
7954,18.00559652518157,,0.462394374313271,10.24762042874042,,,,,,
1593,14.104509263274483,0.4531616713394119,2.5216007138939904,,1.0986122886681096,1.0,1.0,,,0.0
2215,14.992181125089589,0.0804576432989187,,1.3982002095379618,1.3862943611198906,0.0,1.0,,,0.0
7273,14.350297795498774,-0.6234055258544654,3.51253346086794,,2.9444389791664403,0.0,0.0,7.0,49.0,0.0
348,15.839533201381053,-1.62970361000077,-0.37986116826526,7.046970077393589,2.4849066497880004,0.0,0.0,8.0,64.0,0.0
6604,13.899786446915732,1.0792126919002143,1.4966943610847,8.005201254828991,2.8903717578961645,0.0,0.0,7.0,49.0,0.0
3724,15.178024390418761,-0.257396252609841,2.15233227724962,7.380307451370911,3.737669618283368,1.0,0.0,6.0,36.0,0.0
7238,17.770194697657907,-1.0239436998607028,-3.77175116969456,0.45026752838886014,1.0986122886681096,0.0,0.0,7.0,49.0,0.0
5018,15.411071630889671,0.8328538088835709,2.96230282945957,4.427962073233782,0.0,1.0,0.0,,,0.0
2768,16.096822268632007,-1.399534141890074,-1.06425914538584,2.806539847051148,0.6931471805599453,0.0,1.0,6.0,36.0,0.0
5153,16.97842126614196,0.38880622212686144,,,2.3978952727983707,0.0,0.0,0.0,0.0,0.0
6135,14.502955511686453,-2.0774491118869833,1.90990161405012,7.0128501326850055,1.6094379124341005,0.0,0.0,8.0,64.0,0.0
6008,16.292466853944394,0.9171448939338558,2.22227025423224,9.714335463176806,2.079441541679836,0.0,0.0,5.0,25.0,0.0
3112,16.16485709199321,-0.8780770915138784,2.42899156029824,1.543230751662353,2.9444389791664403,0.0,0.0,,,0.0
7840,16.867446967958113,1.0160847629396133,2.02536585973763,10.145920335930644,3.4011973816621555,1.0,1.0,3.0,9.0,0.0
8025,15.338714318563735,-1.7187277064942832,0.396273044299952,10.213486666866805,0.6931471805599453,0.0,0.0,,,0.0
1338,15.012736956383662,0.4186211526578866,0.7786063066078259,,1.791759469228055,1.0,1.0,,,0.0
5909,,0.724978383699034,,,1.791759469228055,0.0,1.0,,,0.0
4661,17.134496696266954,0.2903419353031361,-1.4925556547600902,8.907523495400207,3.610917912644224,0.0,0.0,3.0,9.0,0.0
925,18.977463367980747,-0.06837252404936027,2.07502908786833,7.248693063520402,1.791759469228055,0.0,1.0,2.0,4.0,0.0
4310,16.3260672480413,-0.4871642013687073,0.8953602875607671,5.760522750523733,1.791759469228055,1.0,0.0,,,0.0
4938,15.159706068062825,-1.7533540263942484,2.30412619321454,8.678319614022769,0.0,0.0,0.0,8.0,64.0,0.0
2841,16.231797748681085,0.15330816375310116,1.89970226625496,7.201298888771844,0.0,1.0,0.0,2.0,4.0,0.0
1465,20.73185881136443,-0.23060535457848666,2.28978383259213,,1.6094379124341005,1.0,0.0,3.0,9.0,0.0
1371,15.85988383313854,1.2270803793491567,2.6365848969001697,8.693495460659925,2.19722457733622,1.0,0.0,1.0,1.0,0.0
4106,,0.6507884356350869,,,2.079441541679836,0.0,0.0,,,0.0
3994,14.98965694424275,-0.3137718753047075,1.15933883299849,,1.0986122886681096,1.0,1.0,,,0.0
682,15.241979023769119,0.8151650974573604,2.81599708266195,,2.5649493574615367,0.0,0.0,6.0,36.0,0.0
3426,,-0.9544119395651623,,,1.3862943611198906,1.0,1.0,,,0.0
7005,15.475443085926859,0.8326938608548414,2.22584762660524,8.889997293125214,3.610917912644224,1.0,0.0,5.0,25.0,0.0
3585,14.366381362608914,-0.878497995968331,,0.3551737022862433,1.0986122886681096,0.0,0.0,,,0.0
6240,16.78029659823925,-0.4009647695895896,2.81777239688661,1.3455581706127535,1.9459101490553128,1.0,1.0,,,0.0
4265,15.722259683513414,0.959759564706922,1.92839546649176,0.8107036545057091,2.9957322735539913,0.0,0.0,4.0,16.0,0.0
7756,14.902090750408545,-0.15679968805347705,2.16794833886785,10.375511247065175,1.3862943611198906,0.0,0.0,4.0,16.0,0.0
596,16.100985910585315,-1.7856748187164686,0.7912872282108628,6.050300000883716,1.3862943611198906,0.0,0.0,,,0.0
7176,15.296044753545956,0.6660632949525988,2.6645825794737203,,2.079441541679836,0.0,0.0,5.0,25.0,0.0
3200,20.870905580843502,0.7915045948258241,3.13071243277228,8.621172332654659,1.3862943611198906,0.0,0.0,0.0,0.0,0.0
6563,17.2423292915366,0.9372074699262452,1.97061092136879,7.435398704286495,1.9459101490553128,1.0,1.0,2.0,4.0,0.0
6050,15.20970612220542,1.4864526895907182,-4.36037952850115,,0.0,1.0,1.0,0.0,0.0,0.0
3784,16.866600525034098,0.18307114536556465,2.43661803323232,2.400341390346988,2.302585092994046,1.0,1.0,5.0,25.0,0.0
2915,13.743973739099665,0.9643035089279364,-0.890981270559478,,1.9459101490553128,0.0,0.0,5.0,25.0,0.0
5677,17.4700485360638,-1.2460192742519771,2.6620068604959903,7.5782881822052595,1.0986122886681096,0.0,0.0,8.0,64.0,0.0
30,16.260374163243892,1.197245209443332,,,1.9459101490553128,1.0,1.0,0.0,0.0,0.0
3789,17.035862932196736,0.5071905779851212,-0.894144267485795,3.6408087792154236,2.7080502011022096,1.0,1.0,2.0,4.0,0.0
4488,,0.0,,,1.6094379124341005,0.0,0.0,,,0.0
6035,14.899888348492519,0.8737102103428941,0.216045852284353,,2.302585092994046,1.0,1.0,,,0.0
