d3mIndex,sftpcons
153,0
164,1
194,0
236,0
186,0
264,0
303,1
106,0
413,0
63,0
315,1
390,0
401,0
429,0
89,0
308,0
93,0
302,0
282,0
255,0
92,0
18,0
145,0
158,1
150,0
229,0
210,0
188,0
394,0
66,0
283,0
208,0
140,0
101,0
367,0
444,0
374,0
17,0
146,0
438,0
418,0
30,1
114,1
449,0
103,0
231,0
284,0
176,0
407,0
116,0
168,0
378,0
120,0
230,0
112,0
295,1
357,0
136,0
190,0
318,0
233,0
126,0
386,0
271,0
343,0
325,1
133,0
33,0
433,1
162,0
34,0
44,0
97,0
85,1
61,0
167,1
199,0
173,0
241,0
250,0
447,0
391,0
347,0
108,0
349,0
218,1
46,0
368,0
238,0
393,0
73,0
137,0
436,0
35,0
263,0
29,0
181,0
332,1
312,0
51,0
387,1
405,0
217,0
446,0
27,0
2,1
232,0
268,0
156,0
306,0
431,0
235,0
316,0
138,0
212,0
104,0
385,0
317,0
322,0
215,0
352,0
189,0
214,0
204,0
234,0
259,0
67,0
24,0
216,0
223,0
129,0
111,0
166,1
380,0
360,0
40,1
328,1
79,1
287,0
289,0
13,0
375,0
450,0
228,1
161,0
83,0
453,0
430,0
110,0
149,0
152,0
16,0
310,0
109,0
451,0
139,0
237,0
260,0
329,1
366,0
248,0
353,0
19,0
296,0
269,0
226,1
351,0
3,0
320,0
125,0
280,0
286,0
77,0
184,0
345,0
434,0
275,1
294,1
414,0
182,0
409,0
80,1
307,0
258,0
11,1
342,0
86,0
266,0
36,0
437,0
58,0
41,0
270,0
50,0
209,0
363,0
362,0
379,0
123,0
222,0
62,0
346,0
130,0
187,0
23,0
43,0
0,0
201,0
439,1
98,0
304,0
443,0
178,0
256,0
94,0
423,0
95,0
426,1
169,0
69,0
305,0
48,0
341,0
207,0
279,0
227,1
148,0
143,0
334,0
180,0
356,0
131,0
410,0
454,0
262,0
324,0
203,0
84,0
121,0
397,0
420,0
91,0
82,1
267,0
119,0
358,1
291,0
57,0
321,0
257,0
376,0
408,0
42,0
105,0
388,0
422,0
273,0
406,0
38,0
389,1
53,0
399,0
128,0
290,0
28,0
183,0
370,0
163,1
151,0
244,0
202,0
31,0
32,0
127,0
185,0
427,1
288,0
398,0
416,0
147,0
285,1
424,0
177,0
99,0
338,0
335,0
197,0
243,0
115,0
404,0
265,0
72,0
333,0
25,0
165,1
337,0
440,0
174,0
442,0
39,0
193,0
314,0
396,0
88,0
70,0
87,0
292,0
242,0
277,0
211,0
9,0
359,0
195,0
251,0
323,0
192,0
117,0
47,1
172,0
