"d3mIndex","log(wdi.pop)","wdi.popurb.mi","I(wdi.manuf.mi + wdi.servs.mi)","wdi.sch2.mi","log1p(wdi.mobp100)","ios.gattwto","nvc.start.1"
1,15.86760042028,46.577,64.4752221840895,50.7361476009152,0,1,0
934.222222222222,15.86760042028,46.577,64.4752221840895,50.7361476009152,0,1,0
1867.44444444444,15.86760042028,46.577,64.4752221840895,50.7361476009152,0,1,0
2800.66666666667,15.86760042028,46.577,64.4752221840895,50.7361476009152,0,1,0
3733.88888888889,15.86760042028,46.577,64.4752221840895,50.7361476009152,0,1,0
4667.11111111111,15.86760042028,46.577,64.4752221840895,50.7361476009152,0,1,0
5600.33333333333,15.86760042028,46.577,64.4752221840895,50.7361476009152,0,1,0
6533.55555555555,15.86760042028,46.577,64.4752221840895,50.7361476009152,0,1,0
7466.77777777778,15.86760042028,46.577,64.4752221840895,50.7361476009152,0,1,0
8400,15.86760042028,46.577,64.4752221840895,50.7361476009152,0,1,0
4229.5,11.8644692670879,46.577,64.4752221840895,50.7361476009152,0,1,0
4229.5,12.8827307049754,46.577,64.4752221840895,50.7361476009152,0,1,0
4229.5,13.9009921428628,46.577,64.4752221840895,50.7361476009152,0,1,0
4229.5,14.9192535807503,46.577,64.4752221840895,50.7361476009152,0,1,0
4229.5,15.9375150186377,46.577,64.4752221840895,50.7361476009152,0,1,0
4229.5,16.9557764565252,46.577,64.4752221840895,50.7361476009152,0,1,0
4229.5,17.9740378944126,46.577,64.4752221840895,50.7361476009152,0,1,0
4229.5,18.9922993323001,46.577,64.4752221840895,50.7361476009152,0,1,0
4229.5,20.0105607701875,46.577,64.4752221840895,50.7361476009152,0,1,0
4229.5,21.028822208075,46.577,64.4752221840895,50.7361476009152,0,1,0
4229.5,15.86760042028,-10.9415847710718,64.4752221840895,50.7361476009152,0,1,0
4229.5,15.86760042028,2.61817709249418,64.4752221840895,50.7361476009152,0,1,0
4229.5,15.86760042028,16.1779389560602,64.4752221840895,50.7361476009152,0,1,0
4229.5,15.86760042028,29.7377008196261,64.4752221840895,50.7361476009152,0,1,0
4229.5,15.86760042028,43.2974626831921,64.4752221840895,50.7361476009152,0,1,0
4229.5,15.86760042028,56.8572245467581,64.4752221840895,50.7361476009152,0,1,0
4229.5,15.86760042028,70.4169864103241,64.4752221840895,50.7361476009152,0,1,0
4229.5,15.86760042028,83.97674827389,64.4752221840895,50.7361476009152,0,1,0
4229.5,15.86760042028,97.536510137456,64.4752221840895,50.7361476009152,0,1,0
4229.5,15.86760042028,111.096272001022,64.4752221840895,50.7361476009152,0,1,0
4229.5,15.86760042028,46.577,6.79999,50.7361476009152,0,1,0
4229.5,15.86760042028,46.577,18.7777201791602,50.7361476009152,0,1,0
4229.5,15.86760042028,46.577,30.7554503583204,50.7361476009152,0,1,0
4229.5,15.86760042028,46.577,42.7331805374807,50.7361476009152,0,1,0
4229.5,15.86760042028,46.577,54.7109107166409,50.7361476009152,0,1,0
4229.5,15.86760042028,46.577,66.6886408958011,50.7361476009152,0,1,0
4229.5,15.86760042028,46.577,78.6663710749613,50.7361476009152,0,1,0
4229.5,15.86760042028,46.577,90.6441012541216,50.7361476009152,0,1,0
4229.5,15.86760042028,46.577,102.621831433282,50.7361476009152,0,1,0
4229.5,15.86760042028,46.577,114.599561612442,50.7361476009152,0,1,0
4229.5,15.86760042028,46.577,64.4752221840895,-52.9805698395401,0,1,0
4229.5,15.86760042028,46.577,64.4752221840895,-29.2473276351468,0,1,0
4229.5,15.86760042028,46.577,64.4752221840895,-5.51408543075342,0,1,0
4229.5,15.86760042028,46.577,64.4752221840895,18.2191567736399,0,1,0
4229.5,15.86760042028,46.577,64.4752221840895,41.9523989780333,0,1,0
4229.5,15.86760042028,46.577,64.4752221840895,65.6856411824266,0,1,0
4229.5,15.86760042028,46.577,64.4752221840895,89.4188833868199,0,1,0
4229.5,15.86760042028,46.577,64.4752221840895,113.152125591213,0,1,0
4229.5,15.86760042028,46.577,64.4752221840895,136.885367795607,0,1,0
4229.5,15.86760042028,46.577,64.4752221840895,160.61861,0,1,0
4229.5,15.86760042028,46.577,64.4752221840895,50.7361476009152,0,1,0
4229.5,15.86760042028,46.577,64.4752221840895,50.7361476009152,0.585576540515301,1,0
4229.5,15.86760042028,46.577,64.4752221840895,50.7361476009152,1.1711530810306,1,0
4229.5,15.86760042028,46.577,64.4752221840895,50.7361476009152,1.7567296215459,1,0
4229.5,15.86760042028,46.577,64.4752221840895,50.7361476009152,2.3423061620612,1,0
4229.5,15.86760042028,46.577,64.4752221840895,50.7361476009152,2.92788270257651,1,0
4229.5,15.86760042028,46.577,64.4752221840895,50.7361476009152,3.51345924309181,1,0
4229.5,15.86760042028,46.577,64.4752221840895,50.7361476009152,4.09903578360711,1,0
4229.5,15.86760042028,46.577,64.4752221840895,50.7361476009152,4.68461232412241,1,0
4229.5,15.86760042028,46.577,64.4752221840895,50.7361476009152,5.27018886463771,1,0
4229.5,15.86760042028,46.577,64.4752221840895,50.7361476009152,0,0,0
4229.5,15.86760042028,46.577,64.4752221840895,50.7361476009152,0,1,0
4229.5,15.86760042028,46.577,64.4752221840895,50.7361476009152,0,1,0
4229.5,15.86760042028,46.577,64.4752221840895,50.7361476009152,0,1,1
