d3mIndex,sftpcons
153,1.0
164,1.0
194,0.0
236,0.0
186,0.0
264,0.0
303,1.0
106,0.0
413,0.0
63,0.0
315,1.0
390,0.0
401,0.0
429,0.0
89,1.0
308,0.0
93,0.0
302,0.0
282,0.0
255,1.0
92,0.0
18,0.0
145,0.0
158,0.0
150,0.0
229,0.0
210,0.0
188,0.0
394,0.0
66,1.0
283,0.0
208,0.0
140,0.0
101,0.0
367,0.0
444,0.0
374,0.0
17,0.0
146,0.0
438,0.0
418,0.0
30,1.0
114,1.0
449,0.0
103,0.0
231,0.0
284,1.0
176,0.0
407,0.0
116,0.0
168,0.0
378,1.0
120,1.0
230,0.0
112,0.0
295,1.0
357,0.0
136,1.0
190,0.0
318,0.0
233,0.0
126,0.0
386,0.0
271,0.0
343,0.0
325,1.0
133,0.0
33,0.0
433,0.0
162,1.0
34,0.0
44,0.0
97,0.0
85,0.0
61,0.0
167,1.0
199,0.0
173,0.0
241,0.0
250,0.0
447,0.0
391,0.0
347,1.0
108,0.0
349,1.0
218,1.0
46,0.0
368,0.0
238,0.0
393,0.0
73,0.0
137,0.0
436,0.0
35,0.0
263,0.0
29,0.0
181,0.0
332,1.0
312,0.0
51,0.0
387,0.0
405,0.0
217,1.0
446,0.0
27,1.0
2,0.0
232,0.0
268,0.0
156,0.0
306,0.0
431,0.0
235,0.0
316,1.0
138,0.0
212,0.0
104,1.0
385,0.0
317,0.0
322,1.0
215,0.0
352,0.0
189,0.0
214,0.0
204,1.0
234,0.0
259,0.0
67,0.0
24,0.0
216,0.0
223,0.0
129,0.0
111,0.0
166,1.0
380,0.0
360,0.0
40,0.0
328,1.0
79,0.0
287,0.0
289,0.0
13,0.0
375,1.0
450,0.0
228,0.0
161,0.0
83,0.0
453,0.0
430,0.0
110,0.0
149,0.0
152,1.0
16,0.0
310,0.0
109,0.0
451,0.0
139,1.0
237,0.0
260,1.0
329,1.0
366,0.0
248,0.0
353,1.0
19,0.0
296,1.0
269,0.0
226,1.0
351,0.0
3,0.0
320,0.0
125,0.0
280,0.0
286,0.0
77,0.0
184,0.0
345,1.0
434,1.0
275,0.0
294,0.0
414,0.0
182,0.0
409,1.0
80,1.0
307,0.0
258,0.0
11,1.0
342,0.0
86,1.0
266,0.0
36,0.0
437,0.0
58,0.0
41,1.0
270,1.0
50,1.0
209,0.0
363,0.0
362,0.0
379,0.0
123,0.0
222,0.0
62,0.0
346,1.0
130,1.0
187,0.0
23,1.0
43,0.0
0,0.0
201,0.0
439,1.0
98,0.0
304,0.0
443,0.0
178,0.0
256,0.0
94,0.0
423,0.0
95,0.0
426,1.0
169,0.0
69,0.0
305,0.0
48,0.0
341,0.0
207,0.0
279,0.0
227,0.0
148,0.0
143,0.0
334,0.0
180,0.0
356,0.0
131,0.0
410,0.0
454,0.0
262,0.0
324,1.0
203,1.0
84,0.0
121,0.0
397,0.0
420,0.0
91,0.0
82,1.0
267,0.0
119,1.0
358,0.0
291,0.0
57,1.0
321,0.0
257,0.0
376,1.0
408,1.0
42,0.0
105,0.0
388,0.0
422,0.0
273,0.0
406,0.0
38,0.0
389,1.0
53,1.0
399,0.0
128,1.0
290,0.0
28,0.0
183,0.0
370,1.0
163,1.0
151,0.0
244,1.0
202,0.0
31,0.0
32,0.0
127,0.0
185,0.0
427,1.0
288,0.0
398,0.0
416,1.0
147,0.0
285,1.0
424,0.0
177,0.0
99,1.0
338,0.0
335,0.0
197,0.0
243,0.0
115,0.0
404,0.0
265,0.0
72,0.0
333,0.0
25,0.0
165,1.0
337,0.0
440,0.0
174,1.0
442,0.0
39,0.0
193,1.0
314,0.0
396,0.0
88,1.0
70,0.0
87,0.0
292,0.0
242,0.0
277,1.0
211,0.0
9,0.0
359,0.0
195,0.0
251,0.0
323,0.0
192,0.0
117,1.0
47,1.0
172,0.0
